Natural Gas Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1970,1980,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,(R) 2020,2021
FINANCIAL (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission pipeline companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues ,"3,190","5,928","41,604","21,756","12,092","12,050","10,339","9,450","9,555","10,404","10,257","10,096","10,892","11,313","16,547","15,364","15,846","18,186","13,127","12,188","12,948","9,208","12,184","12,087","10,777","11,095","12,091","12,872","12,592","11,305",U
Total operating expensesa,"2,698","5,088","39,709","19,484","9,534","9,603","7,862","6,875","6,897","7,856","7,296","7,369","7,822","8,284","10,336","10,783","11,016",N,N,"8,368","8,981","6,977","8,634","8,827","7,495","7,658","8,391","8,059","7,199","6,721",U
Operation and maintenance,"2,095","4,203","36,480","17,058","6,680","6,802","5,381","4,260","4,148","5,172","4,198","4,294","4,341","4,503","6,624","6,027","5,982",N,N,"4,392","4,642","2,955","4,342","4,418","3,835","3,840","4,152","4,321","4,022","3,235",U
Operation expenses,"2,031","4,094","36,075","16,429","6,121","6,314","4,975","3,909","3,823","4,880","3,850","3,971","3,997","4,130","6,077","5,495","5,412",N,N,"3,919","4,142","2,680","3,951","3,856","3,303","3,372","3,640","3,699","3,404","2,727",U
Maintenance expenses,64,109,405,629,558,488,406,351,325,292,347,322,344,373,548,532,570,N,N,473,500,275,391,566,532,468,512,621,617,508,U
"Taxes (federal, state, local)b",319,376,"1,991","1,245","1,582","1,643","1,531","1,560","1,645","1,570","1,859","1,773","2,088","2,302","2,861","2,849","3,043",N,N,"2,289","2,493","2,492","2,344","2,653","2,099","2,173","2,450","1,843","1,313","1,713",U
Federal taxes,223,202,"1,327",768,"1,048","1,085","1,076","1,035","1,109","1,029","1,249","1,243","1,603","1,701","2,048","1,966","2,082",N,N,"1,488","1,797","1,730","1,561","1,871","1,488","1,462","1,751","1,021",411,954,U
State and local taxes,96,174,664,477,534,558,455,525,536,541,610,530,485,601,813,883,961,N,N,801,696,762,783,782,611,711,699,822,902,759,U
Distribution pipeline companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues ,N,N,"14,013","18,750","19,421","30,407","30,864","28,182","28,135","34,696","39,179","31,210","38,199","40,410","51,022","48,942","48,064","56,092","44,937","44,624","40,514","34,518","38,284","37,652","33,108","33,133","36,803","39,500","39,280","37,637",U
Total operating expensesa,N,N,"13,263","17,125","17,402","27,917","27,445","25,668","24,564","32,103","36,450","28,266","35,113","37,330","46,811","45,868","42,697",N,N,"38,392","36,155","30,347","33,998","33,581","28,827","28,343","31,323","35,289","32,729","30,825",U
Operation and maintenance,N,N,"11,791","14,544","14,170","23,301","23,155","21,396","20,226","27,093","31,486","23,655","29,994","32,149","42,000","40,154","37,173",N,N,"32,225","29,741","23,805","27,156","26,719","21,828","20,844","23,325","27,273","24,491","22,075",U
Operation expenses,N,N,"11,539","14,020","13,575","22,433","22,388","20,710","18,270","26,271","30,776","22,902","29,236","31,355","41,114","39,261","36,283",N,N,"31,146","28,716","22,677","25,966","25,540","20,587","19,481","21,865","24,613","23,088","20,461",U
Maintenance expenses,N,N,252,524,596,868,767,687,"1,956",821,710,753,757,794,886,893,890,N,N,"1,079","1,025","1,128","1,190","1,179","1,241","1,363","1,459","2,661","1,403","1,614",U
"Taxes (federal, state, local)b",N,N,"1,136","1,625","1,888","2,668","2,415","2,524","2,355","2,916","2,908","2,437","2,914","2,901","3,231","3,188","3,052",N,N,"3,361","3,507","3,398","3,612","3,782","3,740","3,753","3,977","3,740","3,611","3,872",U
Federal taxes,N,N,351,580,720,"1,041",849,"1,250",883,"1,033","1,216",891,"1,108","1,096","1,071","1,053","1,172",N,N,"1,476","1,481","1,420","1,494","1,693","1,687","1,640","1,780","1,138","1,073","1,295",U
State and local taxes,N,N,785,"1,045","1,168","1,627","1,566","1,274","1,472","1,883","1,692","1,546","1,806","1,805","2,160","2,135","1,880",N,N,"1,885","2,026","1,978","2,118","2,089","2,053","2,113","2,197","2,602","2,538","2,577",U
"Investor-owned, total industry c", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues ,N,N,"85,918","66,027","58,435","63,600","62,660","57,548","59,142","72,075","79,276","68,594","75,567","80,331","102,061","97,197","99,236","109,600","87,457","84,362","79,797","68,424","75,587","77,827","69,170","69,645","74,084","79,606","79,217","76,830",U
Total operating expensesa,N,N,"81,789","60,137","50,594","56,695","55,422","51,075","51,331","64,961","71,011","59,839","66,623","71,699","89,315","86,992","85,143",N,N,"71,736","69,746","59,245","64,776","66,994","58,378","57,356","61,035","66,215","62,562","60,328",U
Operation and maintenance,N,N,"74,508","51,628","40,041","45,785","44,851","41,360","41,415","54,630","58,908","48,675","55,067","59,952","77,624","73,494","71,043",N,N,"57,794","55,237","44,460","49,363","51,483","43,443","41,332","43,773","49,638","45,912","41,887",U
Operation expenses,N,N,"73,288","49,718","37,998","43,742","43,258","39,971","38,752","53,138","57,184","47,037","53,477","58,277","75,633","71,465","69,012",N,N,"55,585","53,052","42,269","47,061","48,547","40,300","37,733","40,798","45,236","42,821","38,750",U
Maintenance expenses,N,N,"1,220","1,910","2,043","2,043","1,593","1,390","2,664","1,492","1,722","1,637","1,590","1,675","1,991","2,027","2,031",N,N,"2,209","2,186","2,191","2,302","2,940","3,142","3,599","2,975","4,403","3,090","3,137",U
"Taxes (federal, state, local)b",N,N,"4,847","4,957","5,981","6,362","6,384","5,293","5,605","6,106","7,201","5,870","6,493","6,420","7,454","7,292","7,861",N,N,"7,507","7,946","8,238","8,518","8,358","7,612","7,933","9,056","7,726","7,145","8,369",U
Federal taxes,N,N,"2,327","2,038","2,511","2,932","3,066","2,631","2,626","2,690","3,133","2,624","3,315","3,188","3,676","3,431","3,840",N,N,"3,690","4,013","4,149","4,154","4,478","3,687","3,826","4,503","2,453","1,979","2,778",U
State and local taxes,N,N,"2,520","2,919","3,470","3,430","3,318","2,662","2,979","3,416","4,068","3,246","3,178","3,232","3,778","3,861","4,021",N,N,"3,817","3,933","4,089","4,364","3,880","3,925","4,107","4,553","5,273","5,166","5,591",U
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pipeline mileaged, total","630,900","913,300","1,051,800","1,270,295","1,331,788","1,290,163","1,331,606","1,372,639","1,364,281","1,377,320","1,412,876","1,462,213","1,432,046","1,470,290","1,489,242","1,509,307","1,524,439","1,533,876","1,545,476","(R) 1,554,377.8","(R) 1,563,649.5","(R) 1,567,477.6","(R) 1,575,708.0","(R) 1,585,809.9","(R) 1,594,501.9","(R) 1,603,982.6","(R) 1,615,781.7","(R) 1,627,278","(R) 1,639,022","1,648,087",U
Transmission,"183,700","252,200","266,500","291,925","296,947","284,672","294,370","302,709","296,059","298,957","289,994","302,999","301,493","303,001","300,468","300,324","301,066","303,181","304,560","(R) 304,810.7","(R) 305,070.1","(R) 303,393.6","302,880","(R) 301,824.1","(R) 301,166.1","(R) 300,353.1","(R) 300,734.7","(R) 301,626","(R) 302,338","301,693",U
Distribution,"391,400","594,800","701,800","945,964","1,003,910","976,945","1,002,829","1,040,765","1,035,946","1,050,802","1,101,485","1,136,473","1,107,553","1,142,297","1,165,020","1,188,085","1,203,330","1,210,032","1,220,539","1,229,946","(R) 1,239,302.4","1,247,552","1,255,451","1,266,456","1,275,553","1,285,765","1,296,950","(R) 1,307,736","(R) 1,318,921","1,328,873",U
Gathering linese,"55,800","66,300","83,500","32,406","30,931","28,546","34,407","29,165","32,276","27,561","21,397","22,742","22,999","24,992","23,754","20,898","20,042","20,663","20,376","19,621","19,277","16,532","17,377","17,530","17,783","17,865","18,097","17,916","(R) 17,763","17,522",U
Number of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas utility industry totals,"206,400","211,700","215,400","204,200","179,000","179,000","154,600","154,200","143,600","136,000","135,000","140,000","129,000","130,000","131,000","124,000","118,000",N,N,"118,000","122,000","115,000","113,000","115,000","114,000","130,000","120,000","121,000","123,000","123,000",U
"Investor-owned companiesf, total",N,N,"202,700","192,100","168,000","163,400","145,400","142,400","133,100","125,000","123,000","123,000","114,000","111,000","119,000","111,000","106,000",N,N,"107,000","111,000","104,000","101,000","103,000","103,000","119,000","108,000","108,000","111,000","111,000",U
Transmission pipeline companies,"31,400","32,400","45,200","37,400","28,000","32,300","27,500","28,400","29,400","26,000","26,000","26,000","25,000","25,000","25,000","25,000","25,000",N,N,"22,000","23,000","20,000","22,000","22,000","22,000","26,000","26,000","26,000","26,000","25,000",U
Distribution pipeline companies,N,N,"52,100","64,700","62,000","79,700","75,000","71,300","71,400","70,000","53,000","55,000","51,000","51,000","51,000","51,000","47,000",N,N,"52,000","55,000","55,000","51,000","48,000","46,000","50,000","50,000","50,000","50,000","50,000",U
