Oil Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1970,1980,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC-regulated operating revenues (millions of dollars),770,"1,188","6,340","7,164","7,751","7,310","7,278","7,212","7,645","7,551","7,649","7,812","7,704","8,020","7,917","8,517","8,996","9,244","9,987","11,219","12,562","14,007","15,734","19,281","22,019","23,100","25,427","29,035","32,895","31,898","34,391"
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pipeline operators, hazardous liquid",N,N,N,171,197,205,216,219,215,220,220,217,234,282,308,338,343,350,361,380,394,(R) 415,(R) 443,(R) 461,(R) 487,(R) 521,(R) 538,(R) 550,(R) 554,(R) 564,556
"Number of employees, pipeline companiesa","23,100","17,600","21,300","18,500","15,100","14,500","14,200","13,800","13,060","13,230","13,680","12,360","12,500","12,840","13,040","12,770","13,080","14,220","15,270","15,540","15,570","15,340","15,160","17,800","18,200","18,900","20,190","19,850","20,140","20,240","19,770"
"Miles of pipeline (statute miles)b, all lines ","190,944","218,671","218,393","208,752","181,912","177,535","179,873","178,648","177,463","176,996","154,877","149,619","139,901","166,669","166,760","166,719","169,846","173,789","175,965","(R) 181,836","183,575","(R) 186,411","(R) 192,602","(R) 199,985","(R) 208,812","(R) 212,354","(R) 216,242","(R) 219,327","(R) 225,380","(R) 229,395","229,888"
Crude lines,"141,085","146,275","129,831","118,805","97,029","92,610","91,523","87,663","86,369","85,480","52,386","52,854","50,149","49,264","48,732","48,453","49,488","50,963","52,737","54,631","56,100","(R) 57,653","(R) 61,277","(R) 67,133","(R) 73,247","(R) 75,954","(R) 79,458","(R) 81,079","(R) 84,475","(R) 85,293","84,712"
Product lines,"49,859","72,396","88,562","89,947","84,883","84,925","88,350","90,985","91,094","91,516","85,214","80,551","75,565","62,391","62,899","61,905","62,091","61,599","61,803","(R) 64,742","(R) 64,122","(R) 64,040","(R) 63,349","(R) 61,766","(R) 62,632","(R) 62,459","(R) 62,368","(R) 62,719","(R) 63,107","(R) 64,116","64,218"
PERFORMANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrels transported (millions)c,N,N,N,"2,060","2,157","2,274","2,293","2,312","2,345","2,337","2,334","2,227","2,310","2,408","2,350","2,321","2,298","2,215","2,122","2,237","2,216.5","2,234.5","2,283.5","2,444.8","2,782.1","2,945.6","3,168.1","3,393.3","3,665.6","3,281.6","3,484.4"
SAFETY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities ,N,4,4,3,3,5,0,2,4,1,0,1,0,5,2,0,4,2,4,1,0,3,1,0,1,3,1,0,0,5,0
Injured personsd,N,21,15,7,11,13,5,6,20,4,10,0,5,16,2,2,10,2,4,3,1,4,6,0,0,9,1,2,0,12,1
Incidentse,N,351,244,180,188,194,171,153,167,146,130,458,432,377,369,354,332,376,342,350,344,366,400,455,460,420,415,405,(R) 384,(R) 333,(R) 345
KEY: FERC = Federal Energy Regulatory Commission; N = data do not exist; R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes companies whose pipelines carry crude petroleum, petroleum products, and nonpetroleum pipeline liquids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Mileages of oil pipeline for years 1960-2000 include regulated and unregulated trunk and gathering crude lines, as well as refined oil trunk lines. Beginning in 2001, data include information for FERC-regulated oil pipeline companies only. For years 2001 and after, total miles of pipeline include both trunk and gathering lines, whereas the individual components, namely, crude and product lines, include the mileages of trunk lines only. Thus, details do not add to the total for this period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Incudes Crude Oil and Petroleum Products movement by pipeline. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Injured persons does not include the 1,851 injuries that required medical treatment, caused by severe flooding near Houston, Texas, reported for October, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e The reporting criteria changed in 2002 adding small spills down to 5 gallons. The change was instituted on Feb. 7, 2002. For continuity with past trending, the data from post-2/7/2002 accidents used in the statistical summary includes only accidents meeting the reporting criteria: Accidents with gross loss greater than or equal to 50 barrels; those involving any fatality or injury; fire/explosion not intentionally set; Highly Volatile Liquid releases with gross loss of 5 or more barrels; or those involving total costs greater than or equal to $50,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
