"Exponential Growth of Computing, Twentieth Through Twenty-first Century, Calculations per Second per $1,000, pg 70.",,,,,,,,,,
Exponential Growth of Computing,,,,,,,,,,
Year,"CPS/$1,000",Device,,,,,,,,
1900,5.82E-06,Analytical Engine,,,,,,,,
1908,1.30E-04,Hollerith Tabulator,,,,,,,,
1911,5.79E-05,Monroe Calculator,,,,,,,,
1919,1.06E-03,IBM Tabulator,,,,,,,,
1928,6.99E-04,National Ellis 3000,,,,,,,,
1939,8.55E-03,Zuse 2,,,,,,,,
1940,1.43E-02,Bell Calculator Model 1,,,,,,,,
1941,4.63E-02,Zuse 3,,,,,,,,
1943,5.31E+00,Colossus,,,,,,,,
1946,7.98E-01,ENIAC,,,,,,,,
1948,3.70E-01,IBM SSEC,,,,,,,,
1949,1.84E+00,BINAC,,,,,,,,
1949,1.04E+00,EDSAC,,,,,,,,
1951,1.43E+00,Univac I,,,,,,,,
1953,6.10E+00,Univac 1103,,,,,,,,
1953,1.19E+01,IBM 701,,,,,,,,
1954,3.67E-01,EDVAC,,,,,,,,
1955,1.65E+01,Whirlwind,,,,,,,,
1955,3.44E+00,IBM 704,,,,,,,,
1958,3.26E-01,Datamatic 1000,,,,,,,,
1958,9.14E-01,Univac II,,,,,,,,
1960,1.51E+00,IBM 1620,,,,,,,,
1960,1.52E+02,DEC PDP-1,,,,,,,,
1961,2.83E+02,DEC PDP-4,,,,,,,,
1962,2.94E+01,Univac III,,,,,,,,
1964,1.59E+02,CDC 6600,,,,,,,,
1965,4.83E+02,IBM 1130,,,,,,,,
1965,1.79E+03,DEC PDP-8,,,,,,,,
1966,4.97E+01,IBM 360 Model 75,,,,,,,,
1968,2.14E+02,DEC PDP-10,,,,,,,,
1973,7.29E+02,Intellec-8,,,,,,,,
1973,3.40E+03,Data General Nova,,,,,,,,
1975,1.06E+04,Altair 8800,,,,,,,,
1976,7.77E+02,DEC PDP-11 Model 70,,,,,,,,
1977,3.72E+03,Cray 1,,,,,,,,
1977,2.69E+04,Apple II,,,,,,,,
1979,1.11E+03,DEC VAX 11 Model 780,,,,,,,,
1980,5.62E+03,Sun-1,,,,,,,,
1982,1.27E+05,IBM PC,,,,,,,,
1982,1.27E+05,Compaq Portable,,,,,,,,
1983,8.63E+04,IBM AT-80286,,,,,,,,
1984,8.50E+04,Apple Macintosh,,,,,,,,
1986,5.38E+05,Compaq Deskpro 386,,,,,,,,
1987,2.33E+05,Apple Mac II,,,,,,,,
1993,3.55E+06,Pentium PC,,,,,,,,
1996,4.81E+07,Pentium PC,,,,,,,,
1998,1.33E+08,Pentium II PC,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Exponential Growth of Computing, Twentieth Through Twenty-first Century, Calculations per Second per $1,000, pg 70.
Source: “25 Years of Computer History,” http://www.compros.com/timeline.html; Linley Gwennap, “Birth of a Chip,” BYTE (December 1996), http://www.byte.com/art/9612/sec6/art2.htm; “The CDC 6000 Series Computer,” http://www.moorecad.com/standardpascal/cdc6400.html; “A Chronology of Computer History,” http://www.cyberstreet.com/hcs/museum/chron.htm; Mark Brader, “A Chronology of Digital Computing Machines (to 1952),” http://www.davros.org/misc/chronology.html; Karl Kempf, “Electronic Computers Within the Ordnance Corps,” November 1961, http://ftp.arl.mil/~mike/comphist/61ordnance/index.html; Ken Polsson, “Chronology of Personal Computers,” http://www.islandnet.com/~kpolsson/comphist; “The History of Computing at Los Alamos,” http://bang.lanl.gov/video/sunedu/computer/comphist.html (requires password); the Machine Room, http://www.machine-room.org; Mind Machine Web Museum, http://www.userwww.sfsu.edu/~hl/mmm.html; Hans Moravec, computer data, http://www.frc.ri.cmu.edu/~hpm/book97/ch3/processor.list; “PC Magazine Online: Fifteen Years of PC Magazine,” http://www.pcmag.com/article2/0,1759, 23390,00.asp; Stan Augarten, Bit by Bit: An Illustrated History of Computers (New York: Ticknor and Fields, 1984); International Association of Electrical and Electronics Engineers (IEEE), Annals of the History of the Computer 9.2 (1987): 150–53 and 16.3 (1994): 20; Hans Moravec, Mind Children: The Future of Robot and Human Intelligence (Cambridge, Mass.: Harvard University Press, 1988); René Moreau, The Computer Comes of Age (Cambridge,Mass.: MIT Press, 1984).
",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
