DATE,A02F2AUSA374NNBR
1830-01-01,40
1831-01-01,99
1832-01-01,191
1833-01-01,116
1834-01-01,214
1835-01-01,138
1836-01-01,280
1837-01-01,348
1838-01-01,453
1839-01-01,386
1840-01-01,491
1841-01-01,606
1842-01-01,505
1843-01-01,288
1844-01-01,180
1845-01-01,277
1846-01-01,333
1847-01-01,263
1848-01-01,1056
1849-01-01,1048
1850-01-01,1261
1851-01-01,1274
1852-01-01,2288
1853-01-01,2170
1854-01-01,3442
1855-01-01,2453
1856-01-01,1471
1857-01-01,2077
1858-01-01,1966
1859-01-01,1707
1860-01-01,1500
1861-01-01,1016
1862-01-01,720
1863-01-01,574
1864-01-01,947
1865-01-01,819
1866-01-01,1404
1867-01-01,2541
1868-01-01,2468
1869-01-01,4103
1870-01-01,5658
1871-01-01,6660
1872-01-01,7439
1873-01-01,5217
1874-01-01,2584
1875-01-01,1606
1876-01-01,2575
1877-01-01,2280
1878-01-01,2428
1879-01-01,5006
1880-01-01,6876
1881-01-01,9789
1882-01-01,11599
1883-01-01,6819
1884-01-01,3974
1885-01-01,3131
1886-01-01,8400
1887-01-01,13081
1888-01-01,7066
1889-01-01,5707
1890-01-01,5739
1891-01-01,4620
1892-01-01,4648
1893-01-01,3024
1894-01-01,1760
1895-01-01,1420
1896-01-01,1692
1897-01-01,2109
1898-01-01,3265
1899-01-01,4569
1900-01-01,4894
1901-01-01,5368
1902-01-01,6026
1903-01-01,5652
1904-01-01,3832
1905-01-01,4388
1906-01-01,5623
1907-01-01,5212
1908-01-01,3214
1909-01-01,3748
1910-01-01,4122
1911-01-01,3066
1912-01-01,2997
1913-01-01,3071
1914-01-01,1532
1915-01-01,933
1916-01-01,1098
1917-01-01,979
1918-01-01,721
1919-01-01,686
1920-01-01,314
1921-01-01,475
1922-01-01,324
1923-01-01,427
1924-01-01,579
1925-01-01,644
1926-01-01,1005
1927-01-01,779
1928-01-01,1025
1929-01-01,666
1930-01-01,513
1931-01-01,748
1932-01-01,163
1933-01-01,24
1934-01-01,76
1935-01-01,45
1936-01-01,93
1937-01-01,148
1938-01-01,38
1939-01-01,58
1940-01-01,26
1941-01-01,54
1942-01-01,74
1943-01-01,56
1944-01-01,121
1945-01-01,65
1946-01-01,68
1947-01-01,154
1948-01-01,96
1949-01-01,78
1950-01-01,109
1951-01-01,129
1952-01-01,116
