"RAM Bits per Dollar, Constant 2000 Dollars, Logarithmic Plot, pg 75",,,,,,,,,,
Random Access Memory,,,,,,,,,,
year,Bits per Dollar,,Type,Vendor,,,,,,
1949,2.42E-02,,Vacuum Tube,EDSAC - Vacuum Tube,,,,,,
1951,3.46E-02,,Vacuum Tube,UNIVAC I - Vacuum Tube,,,,,,
1955,9.05E-02,,Vacuum Tube,IBM 704 - Vacuum Tube,,,,,,
1960,1.04E-01,,Discrete Transistor,DEC PDP-1 - Discrete Transistor,,,,,,
1962,2.12E-01,,Discrete Transistor,DEC PDP-4 - Discrete Transistor,,,,,,
1965,1.16E+00,,Discrete Transistor,UNIVAC 1108 - Discrete Transistor,,,,,,
1968,6.51E+00,,Integrated Circuit/Chip,Data General Corp - Integrated Circuit/Chip,,,,,,
1973,1.14E+01,,Integrated Circuit/Chip,Scelbi ,,,,,,
1975,1.05E+02,,Integrated Circuit/Chip,RGS SRAM,,,,,,
1976,1.71E+02,,Integrated Circuit/Chip,Godbove SRAM,,,,,,
1977,2.86E+02,,Integrated Circuit/Chip,James Electronic DRAM,,,,,,
1978,3.81E+02,,Integrated Circuit/Chip,Jade DRAM,,,,,,
1979,4.99E+02,,Integrated Circuit/Chip,Solid State DRAM,,,,,,
1980,7.75E+02,,Integrated Circuit/Chip,Advanced Computer DRAM,,,,,,
1981,9.72E+02,,Integrated Circuit/Chip,Advanced Computer DRAM,,,,,,
1982,1.81E+03,,Integrated Circuit/Chip,Jameco DRAM,,,,,,
1983,5.36E+03,,Integrated Circuit/Chip,California Digital DRAM,,,,,,
1984,6.54E+03,,Integrated Circuit/Chip,Jameco DRAM,,,,,,
1985,1.36E+04,,Integrated Circuit/Chip,JDR Microdevices DRAM,,,,,,
1986,2.11E+04,,Integrated Circuit/Chip,JDR Microdevices DRAM,,,,,,
1987,1.66E+04,,Integrated Circuit/Chip,Jameco DRAM,,,,,,
1988,2.47E+04,,Integrated Circuit/Chip,JDR Microdevices DRAM,,,,,,
1989,2.59E+04,,Integrated Circuit/Chip,ICS DRAM,,,,,,
1990,7.65E+04,,Integrated Circuit/Chip,Unitex DRAM,,,,,,
1991,1.00E+05,,Integrated Circuit/Chip,JDR Microdevices DRAM,,,,,,
1992,1.64E+05,,Integrated Circuit/Chip,AMT SIMMS,,,,,,
1993,1.83E+05,,Integrated Circuit/Chip,Advanced Computer SIMMS,,,,,,
1994,1.78E+05,,Integrated Circuit/Chip,Nevada Computer SIMMS,,,,,,
1995,2.21E+05,,Integrated Circuit/Chip,Nevada Computer SIMMS,,,,,,
1996,2.61E+05,,Integrated Circuit/Chip,Sky 1 SIMMS,,,,,,
1997,1.75E+06,,Integrated Circuit/Chip,Intol SIMMS,,,,,,
1998,3.78E+06,,Integrated Circuit/Chip,Computer Upgrades SIMMS,,,,,,
1999,6.20E+06,,Integrated Circuit/Chip,Stargate Microsystems EDO DIMMS,,,,,,
2000,7.37E+06,,Integrated Circuit/Chip,StarSurplus SDRAM,,,,,,
2001,5.26E+07,,Integrated Circuit/Chip,SDRAM PC150 average,,,,,,
2002,3.15E+07,,Integrated Circuit/Chip,SDRAM PC150 average,,,,,,
2003,3.64E+07,,Integrated Circuit/Chip,SDRAM,,,,,,
2004,9.39E+07,,Integrated Circuit/Chip,SDRAM Generic,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"RAM Bits per Dollar, Constant 2000 Dollars, Logarithmic Plot, pg 75
Source:  47. Mark Brader, “A Chronology of Digital Computing Machines (to 1952),” http://www.davros.org/misc/chronology.html; Richard E.Matick, Computer Storage Systems and Technology (New York: John Wiley and Sons, 1977); University of Cambridge Computer Laboratory, EDSAC99, http://www.cl.cam.ac.uk/UoCCL/misc/EDSAC99/statistics.html; Mary Bellis, “Inventors of the Modern Computer: The History of the UNIVAC Computer—J. Presper Eckert and John Mauchly,” http://inventors.about.com/library/weekly/aa062398.htm; “Initial Date of Operation of Computing Systems in the USA (1950–1958),” compiled from 1968 OECD data, http://members.iinet.net.au/~dgreen/timeline.html; Douglas Jones, “Frequently Asked Questions about the DEC PDP-8 computer,” ftp://rtfm.mit.edu/pub/usenet/alt.sys.pdp8/PDP-8_Frequently_Asked_Questions_%28posted_every_other_month%29; Programmed Data Processor-1 Handbook, Digital Equipment Corporation (1960–1963), http://www.dbit.com/~greeng3/pdp1/pdp1.html#INTRODUCTION; John Walker, “Typical UNIVAC® 1108 Prices: 1968,” http://www.fourmilab.ch/documents/univac/config1108.html; Jack Harper, “LISP 1.5 for the Univac 1100 Mainframe,” http://www.frobenius.com/univac.htm; Wikipedia, “Data General Nova,” http://www.answers.com/topic/data-generalnova; Darren Brewer, “Chronology of Personal Computers 1972–1974,” http://uk.geocities.com/magoos_universe/comp1972.htm; www.pricewatch.com; http://www.jc-news.com/parse.cgi?news/pricewatch/raw/pw-010702; http://www.jc-news.com/parse.cgi?news/pricewatch/raw/pw-020624; http://www.pricewatch.com (11/17/04); http://sharkyextreme.com/guides/WMPG/article.php/10706_2227191_2; Byte advertisements, September 1975–March 1998; PC Computing advertisements, March 1977–April 2000.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
