Year,Annual Number of Satellites Launched
1957,4
1958,28
1959,23
1960,40
1961,54
1962,84
1963,70
1964,104
1965,132
1966,139
1967,143
1968,131
1969,125
1970,124
1971,134
1972,113
1973,116
1974,113
1975,132
1976,132
1977,130
1978,128
1979,110
1980,108
1981,126
1982,129
1983,129
1984,129
1985,125
1986,110
1987,114
1988,121
1989,102
1990,121
1991,91
1992,97
1993,83
1994,93
1995,80
1996,77
1997,89
1998,82
1999,78
2000,85
2001,59
2002,65
2003,63
2004,55
2005,56
2006,66
2007,68
2008,69
2009,78
2010,74
2011,84
2012,78
2013,82
2014,92
2015,87
2016,85
2017,91
2018,114
2019,95
