Year,Underground Cable Cumulative km (Cumulative),Underground Cable Cumulative km (Annual)
1989,193.00,193.00
1990,709.00,516.00
1991,1151.00,442.00
1992,2097.00,946.00
1993,2543.00,446.00
1994,11802.00,9259.00
1995,15921.00,4119.00
1996,18986.00,3065.00
1997,63542.00,44556.00
1998,83016.00,19474.00
1999,162213.00,79197.00
2000,277823.00,115610.00
2001,423765.00,145942.00
2002,518284.00,94519.00
2003,534587.00,16303.00
2004,546896.00,12309.00
2005,571818.00,24922.00
2006,603472.00,31654.00
2007,610709.00,7237.00
2008,655123.00,44414.00
2009,724178.00,69055.00
2010,785128.00,60950.00
2011,814782.00,29654.00
2012,876375.00,61593.00
2013,893282.00,16907.00
2014,923669.00,30387.00
2015,942954.00,19285.00
2016,1006258.00,63304.00
2017,1080363.00,74105.00
2018,1154326.00,73963.00
2019,1185801.00,31475.00
2020,1254422.00,68621.00
2021,1299801.00,45379.00
