Aquaculture Year,Aquaculture Production Annual,Aquaculture Production Cumulative
1960,2029179,2029179
1961,1948048,3977227
1962,2014404,5991631
1963,2247676,8239307
1964,2402677,10641984
1965,2604353,13246337
1966,2791746,16038083
1967,2915674,18953757
1968,3092313,22046070
1969,3238166,25284236
1970,3526017,28810253
1971,3930472,32740725
1972,4280803,37021528
1973,4504942,41526470
1974,4941524,46467994
1975,5219603,51687597
1976,5408491,57096088
1977,6282015,63378103
1978,6593363,69971466
1979,6714748,76686214
1980,7347225,84033439
1981,7818586,91852025
1982,8213439,100065464
1983,9089265,109154729
1984,10191481.45,119346210.4
1985,11354348.65,130700559.1
1986,12670909.1,143371468.2
1987,13971504.23,157342972.4
1988,15531104.96,172874077.4
1989,16486351.07,189360428.5
1990,16850459.04,206210887.5
1991,18305028.6,224515916.1
1992,21211488.89,245727405
1993,24467925.05,270195330
1994,27798479.01,297993809
1995,31232256.19,329226065.2
1996,33790684.14,363016749.4
1997,34296276.7,397313026.1
1998,36463874.11,433776900.2
1999,39604752.61,473381652.8
2000,41724569.75,515106222.5
2001,44324822.72,559431045.3
2002,47375084.71,606806130
2003,50271407.72,657077537.7
2004,54570314.09,711647851.8
2005,57820199.22,769468051
2006,61591980.13,831060031.1
2007,64937295.56,895997326.7
2008,68799079.9,964796406.6
2009,73045256.33,1037841663
2010,78020019.87,1115861683
2011,82635398.2,1198497081
2012,90020572.65,1288517654
2013,97110166.78,1385627820
2014,101084799.1,1486712620
2015,106004183.8,1592716803
