ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Railroad_Cumulative total capacity_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,61.0,66.0,72.0,82.0,157.0,225.0,267.0,335.0,480.0,544.0,649.0,870.0,1196.0,1562.0,2390.0,2858.0,3122.0,3291.0,3600.0,3931.0,4889.0,6352.0,8022.0,8918.0,9797.0,10090.0,10673.0,10958.0,11525.0,11744.0,12318.0,12919.0,13452.0,14069.0,14603.0,15210.0,16027.0,17038.0,17704.0,18439.0,19234.0,19837.0,,,,21558.0,22097.0,22513.0,23062.0,23365.0,23695.0,23951.0,24273.0,24815.0,25060.0,25336.0,25751.0,26052.0,26309.0,26720.0,26891.0,27220.0,27501.0,27619.0,27827.0,27902.0,28067.0,28429.0,28765.0,28986.0,29144.0,29411.0,29762.0,29828.0,30079.0,30385.0,30495.0,30860.0,31139.0,31456.0,31722.0,31796.0,31951.0,32026.0,32184.0,32223.0,32266.0,32623.0,,,,,,32703.0,32707.0,32691.0,32717.0,32743.0,32767.0,32849.0,32857.0,32839.0,32846.0,32641.0,32632.0,32638.0,32604.0,32580.0,32553.0,32450.0,32400.0,32334.0,32216.0,32176.0,32094.0,32050.0,32031.0,32028.0,32012.0,31984.0,31981.0,31968.0,31540.0,31500.0,31336.0,31152.0,31022.0,30935.0,30821.0,30676.0,30618.0,30521.0,30333.0,29747.0,29562.0,28812.0,28135.0,27330.0,25735.0,24011.0,22082.0,21198.0,20031.0,19170.0,18969.0,18738.0,18417.0,18227.0,18168.0,18118.0,18007.0,17973.0,17901.0,17735.0,17645.0,17431.0,17229.0,16964.0,16879.0,16752.0,16670.0,16633.0,16599.0,16587.0,16584.0,16558.0,16528.0,16536.0,16914.0,16914.0,16888.0,17561.0,16878.0,16878.0,16878.0,,,,,,,,,United Kingdom,GB,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,110.0,110.0,111.0,111.0,111.0,111.0,170.0,483.0,489.0,489.0,492.0,492.0,638.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,1158.0,1158.0,1178.0,1520.0,1553.0,1559.0,1842.0,1895.0,1897.0,1974.0,2098.0,2242.0,2391.0,2391.0,2473.0,2516.0,2649.0,2650.0,2653.0,2746.0,2962.0,3046.0,3046.0,3053.0,3056.0,3140.0,3252.0,3356.0,3421.0,3421.0,3560.0,3683.0,3685.0,3793.0,3828.0,3906.0,3984.0,3988.0,3990.0,4091.0,4240.0,4295.0,4524.0,4664.0,4827.0,4936.0,5040.0,5128.0,5136.0,5224.0,5318.0,5455.0,5501.0,5510.0,5651.0,5740.0,5864.0,4596.0,5222.0,5670.0,5686.0,4220.0,4513.0,4607.0,4713.0,4711.0,4641.0,4726.0,4815.0,4843.0,4880.0,4845.0,4918.0,5031.0,5100.0,5107.0,5284.0,5323.0,5327.0,5357.0,5363.0,5398.0,5470.0,5555.0,5619.0,5725.0,5724.0,5841.0,5910.0,5924.0,5936.0,5948.0,5957.0,6036.0,6089.0,6079.0,6100.0,6098.0,6091.0,6092.0,6092.0,6000.0,5900.0,5899.0,5884.0,5884.0,5863.0,5846.0,5853.0,5853.0,5853.0,5924.0,5924.0,5864.0,5895.0,5859.0,5859.0,5865.0,,,,,,,,,Finland,FI,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,66.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Somalia,SO,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,,,,,,,,,,,,,,,,Botswana,BW,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,132.0,132.0,132.0,146.0,153.0,179.0,180.0,196.0,224.0,224.0,224.0,224.0,270.0,291.0,291.0,291.0,291.0,291.0,309.0,309.0,309.0,373.0,436.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,594.0,631.0,752.0,904.0,904.0,904.0,911.0,929.0,930.0,930.0,974.0,974.0,1081.0,1115.0,1136.0,1136.0,1146.0,1172.0,1172.0,1176.0,1178.0,1181.0,1194.0,1273.0,1370.0,1440.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1514.0,1469.0,1469.0,1469.0,1469.0,1469.0,1469.0,1439.0,1442.0,1442.0,1442.0,1442.0,1444.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1484.0,1489.0,1490.0,1497.0,1500.0,1535.0,1535.0,1535.0,1535.0,1535.0,1535.0,1501.0,1501.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1462.0,1462.0,1491.0,1491.0,1491.0,1500.0,1500.0,1500.0,,,,,,,,,,,Sri Lanka,LK,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,85,89,89,89,89,89,89,89,89,89,89,89,89,117,117,456,456,456,505,510,516,640,818,818,818,818,818,818,818,818,818,1030,1310,1310,1310,1310,1310,1310,1310,1321,1382,1374,1374,1534,1597,1740,1789,1821,1930,2014,2103,2145,2295,2309,2359,2384,,2537,2568,2548,2672,2661,2660,2679,2688,2708,3162,3176,3324,3165,3218,3372,3415,3485,3504,3586,3562,3522,3589,3599,3703,3832,3732,3829,3696,3696,2547,2547,2547,2547,2547,2547,2547,2547,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,,,,,,,,,,,Mozambique,MZ,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,422.0,,,342.0,,,,357.0,569.0,,,775.0,917.0,991.0,1194.0,1261.0,1261.0,1261.0,1380.0,1380.0,1442.0,1712.0,1712.0,1712.0,1712.0,1712.0,2040.0,2104.0,2134.0,2228.0,2230.0,2230.0,2230.0,2716.0,3077.0,3274.0,3274.0,3274.0,3382.0,3382.0,3467.0,3596.0,3661.0,3711.0,3748.0,4025.0,4316.0,4413.0,4617.0,4682.0,5639.0,6268.0,6328.0,6382.0,6540.0,6590.0,6611.0,6366.0,6378.0,6410.0,6312.0,6727.0,6801.0,6712.0,6695.0,6997.0,6819.0,6575.0,6942.0,6893.0,6736.0,6771.0,6769.0,6771.0,6792.0,6806.0,6812.0,6729.0,6688.0,6759.0,6662.0,6604.0,6786.0,,6736.0,6412.0,6615.0,6607.0,6604.0,6609.0,6604.0,6597.0,6597.0,6528.0,6531.0,6531.0,6536.0,6536.0,6536.0,6409.0,6280.0,6187.0,6180.0,6172.0,6172.0,6420.0,6427.0,6427.0,6432.0,6432.0,6396.0,6393.0,6361.0,6606.0,6378.0,6372.0,6366.0,6365.0,6302.0,6300.0,6236.0,6236.0,6858.0,6740.0,6850.0,6848.0,6850.0,6880.0,6852.0,6869.0,6837.0,6560.0,6925.0,6445.0,6411.0,6307.0,5695.0,4923.0,,,,,,,,,,Chile,CL,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_GY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,16.0,26.0,26.0,26.0,26.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,64.0,64.0,64.0,89.0,151.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,65.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Guyana,GY,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,37.0,45.0,45.0,45.0,70.0,70.0,,,103.0,103.0,103.0,103.0,103.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,169.0,177.0,177.0,177.0,168.0,168.0,176.0,176.0,180.0,217.0,211.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,121.0,121.0,121.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Haiti,HT,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,140,140,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,373,373,373,373,373,373,373,373,410,410,425,457,457,468,468,468,468,468,468,468,468,468,468,468,468,481,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,,,,,,,,,,Paraguay,PY,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
