Country Code,Country Name,Technology Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AU,Australia,Cobalt production,Thousand tonnes,0.824,0.942,1.219,1.269,1.0103448486328126,3.59847998046875,4.31193994140625,4.854,5.12,4.55,4.110000000000001,5.05,4.74,4.79,4.63,3.85,3.85,5.88,6.4,6.201255859375,6.03,5.47,5.8,4.8999999999999995,5.7,5.6,5.570159857904085
CA,Canada,Cobalt production,Thousand tonnes,5.339,5.7139999999999995,5.709,5.861,5.3229999999999995,5.298,5.326,5.148,4.327,5.06,5.7669999999999995,7.115,8.692,8.953,3.9189999999999996,4.635999999999999,6.836,3.698,4.005,3.907,4.339,4.216,3.7039999999999997,3.5239999999999996,3.336,4.473999999999999,3.8339999999999996
CN,China,Cobalt production,Thousand tonnes,0.98,0.18999999999999997,0.19999999999999998,0.039999999999999994,0.25,0.09,0.15,1.0,0.7,1.2599999999999998,2.1,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.5,1.5,2.1999999999999997,2.6,2.8,2.6,2.3,2.5,2.0,2.5,2.1999999999999997,2.1999999999999997
CU,Cuba,Cobalt production,Thousand tonnes,1.591,2.0109999999999997,2.3579999999999997,2.665,2.537,2.852,3.425,3.4419999999999997,3.274,3.554,4.798,5.601999999999999,4.54,4.0,4.6,4.8,5.1,4.7,4.0,3.6999999999999997,4.0,3.9,3.9,3.4999999999999996,3.8,3.7932464454976307,3.9688388625592417
CD,Democratic Republic of Congo,Cobalt production,Thousand tonnes,1.67,2.0,3.4999999999999996,5.0,6.999999999999999,11.0,12.0,14.6,14.799999999999999,20.2,24.499999999999996,27.099999999999998,25.4,42.461,56.103,84.005,99.475,86.43299999999999,76.572,76.4749609375,84.40047656249999,69.0382890625,90.31940625,109.4023,77.9637,86.59100000000001,93.011
MG,Madagascar,Cobalt production,Thousand tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.5,0.6,2.4,3.4,4.0,3.8,3.053,2.852,2.897,0.833,2.0
MA,Morocco,Cobalt production,Thousand tonnes,0.5369999999999999,0.565,0.714,0.287,0.863,0.967,1.242,1.4529999999999998,1.3909999999999998,1.5999999999999999,1.5999999999999999,2.6,1.8,1.7,2.61,3.11,2.16,2.0,2.0,2.15,2.25,2.729868896484375,2.5239152832031246,2.1,2.3,2.3,2.3
NC,New Caledonia,Cobalt production,Thousand tonnes,1.0999999999999999,1.0999999999999999,1.0,1.0,1.0999999999999999,1.2,1.4,2.78,2.602,2.7259999999999995,1.769,1.629,2.25,2.11,2.0,2.8499999999999996,3.1,2.67,3.1899999999999995,4.04,3.6899999999999995,3.3899999999999997,2.8,1.661,1.24,0.6809999999999999,0.0
PG,Papua New Guinea,Cobalt production,Thousand tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,1.013,2.134,2.505,2.19,3.31,3.28,2.9099999999999997,2.94,2.953
PH,Philippines,Cobalt production,Thousand tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.3,0.9,1.0,1.2,1.4,2.1,2.0,2.6999999999999997,2.8,4.6,4.3,4.0,4.6,4.75,5.1,4.922504334902155,4.329722791451799
RU,Russian Federation,Cobalt production,Thousand tonnes,3.4999999999999996,3.3,3.3,3.6,3.9,4.0,4.6,4.6,6.1,6.0,6.3,6.3,6.3,6.2,6.1,6.2,6.1,6.3,6.3,6.3,6.2,5.5,5.8999999999999995,6.1,6.3,6.529090909090909,6.529090909090909
ZA,South Africa,Cobalt production,Thousand tonnes,0.28800000000000003,0.35,0.46499999999999997,0.435,0.45,0.58,0.5599999999999999,0.5199999999999999,0.48,0.61,0.62,0.6,0.6,0.59,0.61,1.8,1.5999999999999999,2.5,3.0,3.0,2.9,2.3,2.3,2.3,2.1,1.8,1.1969999999999998
ZM,Zambia,Cobalt production,Thousand tonnes,2.931,4.829,4.028,4.961,4.378,2.877,4.182,3.9899999999999998,3.211,6.082,5.529,4.6579999999999995,4.6899999999999995,4.6129999999999995,5.879,8.648,7.702,5.435,5.919,4.562,2.979,4.981999999999999,2.6489000000000003,1.5849999999999997,0.367,0.287,0.287
