ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Corn Production_Price_AF,94.14,94.14,94.14,102.96,108.85,145.33,105.91,123.56,161.8,111.79,152.97,147.09,135.32,144.74,135.91,96.65,57.39,18.12,18.36,18.65,18.77,24.12,48.65,74.36,100.32,125.32,121.79,112.73,109.44,102.69,96.51,90.33,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Afghanistan,AF
Corn Production_Price_AL,,,47.03,53.82,46.21,70.68,95.14,100.58,86.99,78.83,69.05,73.67,77.2,77.2,69.32,64.15,86.99,89.71,73.4,81.55,106.02,106.02,119.61,101.49,100.58,97.93,90.23,88.17,82.72,83.65,100.43,79.93,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Albania,AL
Corn Production_Price_DZ,12.49,44.49,44.49,44.49,62.45,64.15,61.44,72.51,68.99,61.83,63.33,62.88,66.91,76.81,73.98,76.11,85.96,98.49,92.57,93.95,100.06,105.5,109.88,114.05,96.43,89.51,94.51,99.82,100.14,99.23,99.67,100.12,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Algeria,DZ
Corn Production_Price_AO,,,,,,,,,,,,,,,,,,,,97.6,90.13,159.54,90.18,91.17,97.03,111.8,132.51,117.24,110.21,104.29,104.63,104.67,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Angola,AO
Corn Production_Price_AG,,,,,,57.96,58.83,59.12,61.23,63.43,65.7,68.05,70.48,73.0,75.61,78.32,81.12,83.07,83.65,83.85,83.77,83.48,82.37,81.22,107.47,111.31,115.29,119.42,123.69,123.69,181.42,135.92,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Antigua and Barbuda,AG
Corn Production_Price_AR,5.85,3.97,7.02,6.96,7.48,9.89,7.09,6.31,5.79,5.33,5.46,15.61,15.03,15.42,13.27,18.43,23.91,28.76,27.39,34.24,47.14,59.94,64.02,75.23,88.37,136.39,152.7,240.41,290.0,291.45,292.04,292.63,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Argentina,AR
Corn Production_Price_AM,,,,,,,89.4,83.91,76.79,71.3,74.51,64.25,86.45,89.86,66.26,71.4,83.77,97.42,77.21,97.74,112.26,127.88,130.99,114.94,95.3,89.77,91.97,91.63,77.47,66.43,50.53,35.39,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Armenia,AM
Corn Production_Price_AU,52.26,53.83,64.22,62.64,77.12,70.2,62.96,63.9,56.35,48.16,59.18,62.33,73.35,70.2,60.76,61.39,78.07,77.65,89.09,83.91,81.53,79.01,74.92,93.49,103.88,102.62,100.73,106.09,137.25,150.85,116.88,134.6,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Australia,AU
Corn Production_Price_AT,166.79,164.17,165.19,103.43,107.81,98.42,79.12,82.77,82.65,86.47,81.23,78.33,102.61,69.71,69.71,97.13,164.49,70.5,73.63,140.21,116.71,173.11,118.28,86.95,114.36,98.69,109.66,109.66,100.26,102.61,155.09,109.66,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Austria,AT
Corn Production_Price_AZ,,,,6.82,40.9,32.66,26.98,20.24,23.43,30.18,28.05,29.11,40.83,42.25,48.99,68.88,105.09,73.85,79.53,89.82,92.31,91.24,96.92,104.73,105.09,90.18,106.51,95.86,88.76,142.01,131.36,123.91,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Azerbaijan,AZ
