ID,    Mine production,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Mining_Annual production_AL,Mine: Concentrates,11500.0,3700.0,900.0,900.0,800.0,3800.0,2500.0,220.0,3200.0,900.0,,,,,,,,,,,,,Albania,AL,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AL,Mine: Total,11500.0,3700.0,900.0,900.0,800.0,3800.0,2500.0,220.0,3200.0,900.0,,,,,,,,,,,,,Albania,AL,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AR,Mine: Concentrates,400.0,400.0,300.0,,,,,30400.0,170000.0,210000.0,145000.0,192000.0,204000.0,199000.0,177000.0,187000.0,180000.0,180000.0,157000.0,143000.0,140000.0,117000.0,Argentina,AR,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AR,Mine: Total,400.0,400.0,300.0,,,,,30400.0,170000.0,210000.0,145000.0,192000.0,204000.0,199000.0,177000.0,187000.0,180000.0,180000.0,157000.0,143000.0,140000.0,117000.0,Argentina,AR,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AM,Mine: Concentrates,,,1000.0,1000.0,4900.0,7000.0,9100.0,9000.0,9160.0,9830.0,12200.0,16500.0,16600.0,18000.0,17700.0,16400.0,18000.0,17600.0,18800.0,23200.0,31100.0,33600.0,Armenia,AM,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AM,Mine: Total,,,1000.0,1000.0,4900.0,7000.0,9100.0,9000.0,9160.0,9830.0,12200.0,16500.0,16600.0,18000.0,17700.0,16400.0,18000.0,17600.0,18800.0,23200.0,31100.0,33600.0,Armenia,AM,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AU,Mine: Concentrates ,327000.0,320000.0,364000.0,384000.0,392000.0,362000.0,503000.0,507000.0,552000.0,656000.0,732000.0,769000.0,791000.0,773000.0,796000.0,865000.0,806000.0,828000.0,833000.0,831000.0,856000.0,922000.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AU,"Mine: Leaching, electrowon  ",,,14500.0,18000.0,23600.0,36100.0,44200.0,50600.0,55000.0,84000.0,97000.0,102000.0,77100.0,67000.0,58300.0,51000.0,52400.0,42000.0,53000.0,23000.0,14400.0,35600.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AU,Mine: Total,327000.0,320000.0,378000.0,402000.0,416000.0,398000.0,547000.0,558000.0,607000.0,740000.0,829000.0,871000.0,868000.0,840000.0,854000.0,916000.0,859000.0,870000.0,886000.0,854000.0,870000.0,958000.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BO,Mine: Concentrates,200.0,100.0,101.0,94.0,79.0,127.0,92.0,182.0,48.0,252.0,110.0,18.0,3.0,182.0,576.0,32.0,218.0,606.0,731.0,882.0,2060.0,4180.0,Bolivia,BO,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BO,Mine: Total,200.0,100.0,101.0,94.0,79.0,127.0,92.0,182.0,48.0,252.0,110.0,18.0,3.0,182.0,576.0,32.0,218.0,606.0,731.0,882.0,2060.0,4180.0,Bolivia,BO,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BW,Mine: Concentrates,20600.0,20600.0,20400.0,20100.0,22800.0,21000.0,25300.0,22800.0,25000.0,21000.0,21000.0,19200.0,21600.0,27400.0,22500.0,26100.0,24000.0,24000.0,29000.0,27700.0,31000.0,30000.0,Botswana,BW,National,USGS,Metric tons,Annual production,Copper|Mining
