ID,Refinery production,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_AL,Refinery: Primary other,10900.0,4400.0,1500.0,1500.0,1000.0,1000.0,1540.0,,1150.0,342.0,,,,,,,,,,,,,Albania,AL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AL,Refinery: Primary total,10900.0,4400.0,1500.0,1500.0,1000.0,1000.0,1540.0,,1150.0,342.0,,,,,,,,,,,,,Albania,AL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AL,Refinery: Total,10900.0,4400.0,1500.0,1500.0,1000.0,1000.0,1540.0,,1150.0,342.0,,,,,,,,,,,,,Albania,AL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AR,Refinery: Secondary total,10900.0,12000.0,15000.0,15000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,Argentina,AR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AR,Refinery: Total,10900.0,12000.0,15000.0,15000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,Argentina,AR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,Refinery: Primary electrowon,,,,,,,,50600.0,55000.0,84000.0,97000.0,102000.0,96000.0,67400.0,58300.0,50900.0,52400.0,42000.0,53000.0,23000.0,14400.0,35600.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,Refinery: Primary other,250000.0,244000.0,271000.0,285000.0,312000.0,248000.0,311000.0,220000.0,230000.0,335000.0,390000.0,456000.0,449000.0,417000.0,440000.0,418000.0,377000.0,400000.0,450000.0,423000.0,410000.0,441000.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,Refinery: Primary total,250000.0,244000.0,271000.0,285000.0,312000.0,248000.0,311000.0,270000.0,285000.0,419000.0,487000.0,558000.0,545000.0,484000.0,498000.0,469000.0,429000.0,442000.0,503000.0,446000.0,424000.0,477000.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,Refinery: Secondary total,24000.0,35000.0,32000.0,24000.0,24000.0,18000.0,,,,,,,,,,,,,,,,,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,Refinery: Total,274000.0,279000.0,303000.0,309000.0,336000.0,266000.0,311000.0,270000.0,285000.0,419000.0,487000.0,558000.0,545000.0,484000.0,498000.0,469000.0,429000.0,442000.0,503000.0,446000.0,424000.0,477000.0,Australia,AU,National,USGS,Metric tons,Annual production,Copper|Refining
