Country Code,Country Name,Technology Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BR,Brazil,Graphite production,Thousand tonnes,33.59,40.465999999999994,41.443999999999996,61.369,53.50299999999999,71.208,60.666,60.922,70.73899999999999,76.332,75.515,76.194,77.163,80.5,59.425,92.364,105.18799999999999,88.11,91.90799999999999,87.026,75.1,61.687,79.771,95.0,96.0,95.0,95.0
CA,Canada,Graphite production,Thousand tonnes,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,34.99999999999999,24.999999999999996,24.999999999999996,27.999999999999996,27.999999999999996,27.999999999999996,27.999999999999996,27.0,15.0,20.0,24.999999999999996,24.0,20.0,30.0,30.0,20.999999999999996,13.999999999999998,11.0,11.045,7.62,7.699999999999999
CN,China,Graphite production,Thousand tonnes,204.0,185.0,310.0,223.99999999999997,300.0,430.0,449.99999999999994,629.0,710.0,700.0,720.0,720.0,799.9999999999999,650.0,449.99999999999994,700.0,799.9999999999999,820.0,750.0,779.9999999999999,725.0,625.0,625.0,693.0,700.0,762.0,820.0
IN,India,Graphite production,Thousand tonnes,136.263,117.761,111.51799999999999,135.66799999999998,108.826,124.78999999999999,105.814,106.06,87.207,108.14999999999999,125.65099999999998,162.293,170.813,117.767,124.625,115.69699999999999,153.339,134.73499999999999,146.39,116.712,134.56799999999998,137.338,46.368,44.458,30.497,31.799,40.224
MG,Madagascar,Graphite production,Thousand tonnes,16.118999999999996,12.133999999999999,14.107,20.628999999999998,16.136999999999997,40.327999999999996,2.013,2.0,15.0,7.77,6.3999999999999995,4.857,5.351,4.922000000000001,3.437,3.783,3.573,2.885,4.3,5.316,8.1,9.23,13.342,48.056,53.4,48.49999999999999,88.1
MX,Mexico,Graphite production,Thousand tonnes,34.386,40.412,47.980999999999995,43.461,27.779999999999998,30.33,21.442,13.885,8.73,14.768999999999998,12.357,11.772999999999998,9.899999999999999,7.228999999999999,5.105,6.627999999999999,7.348,7.52,7.024,9.16,6.523999999999999,3.839,1.746,4.13,1.591,1.4609999999999999,1.66
MZ,Mozambique,Graphite production,Thousand tonnes,3.019,3.283,5.124999999999999,5.889,4.007000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,104.00000000000001,153.0,12.0,72.00000000000001
NO,Norway,Graphite production,Thousand tonnes,2.558,7.065,7.712999999999999,8.270999999999999,7.339,8.392,9.07,8.6,1.0,6.0,9.0,9.0,3.0,4.1,4.562,6.27,7.789,6.992,6.207,8.265999999999998,9.184999999999999,9.6,9.6,12.0,9.78,5.549,6.293
RU,Russian Federation,Graphite production,Thousand tonnes,13.7,13.927999999999999,14.275,6.0,15.67,20.125,16.563,14.241,12.78,13.549999999999999,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,7.699999999999999,20.7,14.3,20.2,17.599999999999998,15.9,19.400000000000002,19.5,11.9,17.5,12.9,15.226229508196724
LK,Sri Lanka,Graphite production,Thousand tonnes,4.824999999999999,5.645,5.3999999999999995,5.909999999999999,4.592,5.902,6.585,3.6189999999999998,3.387,5.374,4.37,5.756,9.593,6.614999999999999,3.171,3.437,3.3569999999999998,4.173,3.143,4.0,4.212,4.0,3.4999999999999996,4.0,4.0,4.0,4.3
TR,Turkey,Graphite production,Thousand tonnes,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,3.2359999999999998,2.4,0.0,5.249999999999999,31.5,28.74,3.8499999999999996,0.0,0.0,0.0,16.752,9.989999999999998,15.205,15.205
UA,Ukraine,Graphite production,Thousand tonnes,8.757,5.366999999999999,4.289,5.104,7.460999999999999,7.430999999999999,6.3999999999999995,9.4,11.0,10.9,10.400000000000002,5.8,10.2,10.7,2.7,0.0,0.9000000000000001,7.0,2.0,8.0,7.9,6.1,13.9,12.2,1.5,4.100745,3.184178
