ID,Spatial Scale,Country Code,Country Name,Technology Name,Metric,Unit,Data Source,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Steamships_Cumulative Total Capacity_World,Global,World,Global,Steamships,Cumulative Total Capacity,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.820470909797613,,,,,,,,,,58.068746705546616,,,,,,,,,,171.99199188254562,,,,,,,,,,394.2207337073204,,,,,,,,,,1116.3679759070951,,,,,,,,,,1775.28107981647,,,,,,,,,,3335.49457819147,,,,,,,,,,6537.01031212897,,,,,,,,,,11279.616576941473,,,,,,,,,,19525.07241356647,,,,,,,,,,34419.88816960555,,,,,,,,,,52280.02260214328,,,,,,,,,,70582.73487902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamships_Cumulative Total No. of Units_World,Global,World,Global,Steamships,Cumulative Total No. of Units, #,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,289.3333333333333,,,,,,,,,,1151.3433333333332,,,,,,,,,,4162.175930735931,,,,,,,,,,9939.875400432902,,,,,,,,,,15948.87650080096,,,,,,,,,,23500.402052916328,,,,,,,,,,34187.8064004392,,,,,,,,,,48955.02621539919,,,,,,,,,,65874.43698078328,,,,,,,,,,95531.62370203348,,,,,,,,,,133590.73280943066,,,,,,,,,,165218.36666770573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamships_ Average Capacity of Unit Additions_World,Global,World,Global,Steamships, Average Capacity of Unit Additions,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0758091579632677,,,,,,,,,,0.1173648830467317,,,,,,,,,,0.112827508072035,,,,,,,,,,0.2007227785606356,,,,,,,,,,0.3148510980830557,,,,,,,,,,0.3398442296371667,,,,,,,,,,0.4779486138389749,,,,,,,,,,0.5214657165812457,,,,,,,,,,0.4894285752727702,,,,,,,,,,0.5692747599801469,,,,,,,,,,0.424448433858386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washing Machines_Cumulative Total Capacity_US,National,US,US,Washing Machines,Cumulative Total Capacity,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.795447595,45.860542005,96.19528323,164.79967127,251.673706125,356.81738779500006,480.2307162800001,621.9136915800001,781.8663136950001,960.0885826250002,1125.4475287975,1277.9431522125,1448.98805989375,1638.58225184125,1845.9800281850005,2071.181388925,2322.9483075337503,2601.28078401125,2870.29201211375,3129.98199184125,3453.8720697515623,3993.6632353627047,4799.545980583183,5921.710797321506,7410.348177486179,9315.64861298571,11687.802595728605,14577.000617623373,17718.899772977016,21104.110002427034,24723.241246610924,28566.90344616618,32625.70654173029,36890.26047394077,41351.17518343509,46170.10272146522,51357.13584030603,56922.36729223241,62875.889829519256,69198.49723606395,75897.56414385364,82980.46518487546,90454.57499111652,98327.268194564,106686.52673593878,115545.79547296444,124918.51926336452,134818.1429648627,145045.49132740428,155600.0934866788,166481.4785783757,177689.1757381845,189222.71410179467,201081.62280489568,213265.430983177,225773.66777232816,238605.86230803857,251761.54372599776,265240.2411618952,278953.3628402169,292590.0628402169,305228.34992355027,318477.84992355027,332421.7427806931,347846.74320086115,364985.00202439056,380617.3641296537,397109.6207499781,414526.9823537517,431768.9991735134,449157.5158103886,466484.2521923813,484252.51978920354,502644.3739558702,521409.0239558703,539576.2502716597,554410.4752716597,568988.6752716596,585838.5661807505,603788.4033465259,621861.4974641729,639826.4022770071,659972.1750042798,681411.828212836,704146.2795497343,728176.4466620338,753503.2471967932,780127.5988010713,808626.8988010713,,,,,,,,,,,,,,,,,
Washing Machines_Cumulative Total Capacity_World,Global,World,Global,Washing Machines,Cumulative Total Capacity,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.20824183015786,174.28147267993467,277.4034912316847,392.9001520096448,522.25641208096,667.1354233608331,829.399915994291,1011.1361477437638,1214.6807273031734,1442.6506564097122,1697.9769770090356,1983.942456080278,2304.2237926400694,2662.938889587036,3064.6997981676386,3514.6720157779137,4018.6408995014217,4583.08604927175,5215.264617014518,5923.304612886419,6716.309408262948,7951.650703416637,9724.069989240585,12144.677068845434,15343.514175022745,19472.499772203595,24708.80624389988,31141.770225904897,38958.36015556344,48370.97158258615,59620.64290714928,72980.65999449069,88043.32549803724,104945.50421669109,123833.49080820408,144863.6106130655,167758.29991235875,192610.50576792532,219517.07395277236,248578.89922138653,279901.0810874276,313574.7872834435,349710.7953984512,388424.2852082015,429834.99760355125,474067.3988902351,521250.85063254414,571519.7852187693,625013.8873316987,681878.2815131246,741475.1359886262,800728.4513355241,864177.6348473158,933911.9088024072,1002900.6169734646,1074849.2952416877,1154468.123551113,1238388.8113665655,1325197.61581101,1412027.943083737,1500699.431972626,1587511.856972626,1690686.356972626,1795064.6284011975,1911124.3898726264,2044405.415319685,2164446.4347554743,2290716.8777684686,2425830.739437666,2552405.001567197,2676807.556855512,2799216.728640269,2915858.66721872,3041716.0984687195,3167689.77386872,3291859.7841666145,3394999.957724948,3506453.684024948,3623582.8511976753,3738574.6632407233,3859579.279734841,3979107.440925482,4117114.574000349,4264253.395581632,4415848.706209183,4571863.305674163,4732423.732170246,4897660.081508818,5066480.081508818,,,,,,,,,,,,,,,,,
Washing Machines_Cumulative Total No. of Units_US,National,US,US,Washing Machines,Cumulative Total No. of Units, #,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000.0,246000.0,516000.0,884000.0,1350000.0,1914000.0,2576000.0,3336000.0,4194000.0,5150000.0,6037000.0,6855000.0,7772500.0,8789500.0,9902000.0,11110000.0,12460500.0,13953500.0,15396500.0,16789500.0,18526875.0,20608625.0,23034750.0,25805250.0,28920125.0,32379375.0,36183000.0,40331000.0,44414571.42857143,48433714.28571428,52388428.57142857,56278714.28571428,60104571.42857143,63866000.0,67563000.0,71329250.0,75164750.0,79069500.0,83043500.0,87068100.0,91143300.0,95269100.0,99445500.0,103672500.0,107991750.0,112403250.0,116907000.0,121503000.0,126095769.23076925,130685307.6923077,135271615.3846154,139854692.30769235,144434538.4615385,149011153.8461539,153584538.4615385,158154692.30769235,162721615.3846154,167285307.6923077,171845769.23076925,176403000.00000003,180957000.00000003,185438000.00000003,189453000.00000003,194068000.00000003,199074000.00000003,204530000.00000003,210313000.00000003,216413000.00000003,222854000.00000003,229229000.00000003,235657000.00000003,242061000.00000003,248627000.00000003,255366000.00000003,262447000.0,269052000.0,275925000.0,282867000.0,290371000.0,298362000.0,306405000.0,314397000.0,323356000.0,332887000.0,342990000.0,353665000.0,364912000.0,376731000.0,389122000.0,,,,,,,,,,,,,,,,,
Washing Machines_Cumulative Total No. of Units_World,Global,World,Global,Washing Machines,Cumulative Total No. of Units, #,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440972.2738997278,934861.2206674227,1488016.8410472416,2107551.1358726383,2801429.546077084,3578573.3655060614,4448974.443266517,5423823.650358226,6515654.762300942,7738505.607676784,9108098.554497726,10642042.654937182,12360060.047429372,14284239.527020628,16439320.54416283,18853011.2833621,21556344.911265284,24584078.57451685,27975140.277358603,31773129.384541363,36026877.18458606,40791074.72063612,46126975.961012185,52103185.350233376,58796539.86616111,66293096.924000174,74689240.82877994,83924999.12403767,94084333.24882115,105259600.78608304,117552395.07707109,131074468.79715791,145272646.2032491,160180732.47964486,175834223.0698604,192270388.18958676,209199638.2629048,226636765.8384225,244597007.2412057,263096055.88607237,282150075.99028504,301765058.07444525,321957218.5061126,342743233.8120507,364140253.4912864,386165913.17815095,408838348.1646676,432176207.2919117,456198667.2202087,480925447.0883072,506044447.0883072,530274447.08830726,555469447.0883073,582381447.0883073,608277447.0883073,634565447.0883073,662901447.0883073,692013447.0883073,721384847.0883073,750240847.0883073,779852847.0883073,810632847.0883073,841897847.0883073,876443847.0883073,914109659.0883071,956539948.0883071,1000947646.0883071,1047651364.0883071,1097616933.0883074,1144416036.0883074,1190403836.0883074,1235646536.0883074,1278749836.0883074,1324865536.0883074,1372402772.0883074,1417546863.0883074,1465333816.0883074,1518407019.0883074,1570569806.0883074,1621762447.0883074,1675612669.0883076,1728786848.0883076,1790159818.0883076,1855570396.0883076,1922938084.0335357,1992244961.57232,2063545839.64111,2136897049.9112892,2210297049.9112897,,,,,,,,,,,,,,,,,
Washing Machines_ Average Capacity of Unit Additions_US,National,US,US,Washing Machines, Average Capacity of Unit Additions,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0002592968250804,0.0003321686826608,0.0004050405402412,0.0004779123978216,0.000550784255402,0.0006236561129824,0.0006965279705628,0.0007693998281432,0.0008422716857236,0.000915143543304,0.0009880154008845,0.0010608872584649,0.0011337591160453,0.0012066309736257,0.0012795028312061,0.0013523746887865,0.0014252465463669,0.0014981184039473,0.0015709902615277,0.0016438621191081,0.0017167339766885,0.001789605834269,0.0018624776918494,0.0019353495494298,0.0020082214070102,0.0020810932645906,0.002153965122171,0.0022268369797514,0.0022997088373318,0.0023725806949122,0.0024454525524926,0.002518324410073,0.0025911962676535,0.0026640681252339,0.0027369399828143,0.0028098118403947,0.0028826836979751,0.0029555555555555,0.0030090909090909,0.0029944444444444,0.0028204166666666,0.0032999999999999,0.0030214285714285,0.0030813025210084,0.0031411764705882,0.0027031578947368,0.0027036486262826,0.0027041393578285,0.0027046300893743,0.0027051208209202,0.002705611552466,0.0027061022840119,0.0027291666666666,0.00265,0.0027505263157894,0.0021583333333333,0.0021,0.0022454545454545,0.0022462566844919,0.0022470588235294,0.0022478609625668,0.0022486631016042,0.0022494652406417,0.0022502673796791,0.0022510695187165,0.002251871657754,0.0022526737967914,0.0023,,,,,,,,,,,,,,,,,
Washing Machines_ Average Capacity of Unit Additions_World,Global,World,Global,Washing Machines, Average Capacity of Unit Additions,MW,IIASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0001864249675,0.0002592968250804,0.0003321686826608,0.0004050405402412,0.0004779123978216,0.000550784255402,0.0006236561129824,0.0006965279705628,0.0007693998281432,0.0008422716857236,0.000915143543304,0.0009880154008845,0.0010608872584649,0.0011337591160453,0.0012066309736257,0.0012795028312061,0.0013523746887865,0.0014252465463669,0.0014981184039473,0.0015709902615277,0.0016438621191081,0.0017167339766885,0.001789605834269,0.0018624776918494,0.0019353495494298,0.0020082214070102,0.0020810932645906,0.002153965122171,0.0022268369797514,0.0022997088373318,0.0023725806949122,0.0024454525524926,0.002518324410073,0.0025911962676535,0.0026640681252339,0.0027369399828143,0.0028098118403947,0.0028826836979751,0.0029555555555555,0.0030090909090909,0.0029944444444444,0.0028204166666666,0.0032999999999999,0.0030214285714285,0.0030813025210084,0.0031411764705882,0.0027031578947368,0.0027036486262826,0.0027041393578285,0.0027046300893743,0.0027051208209202,0.002705611552466,0.0027061022840119,0.0027291666666666,0.00265,0.0027505263157894,0.0021583333333333,0.0021,0.0022454545454545,0.0022462566844919,0.0022470588235294,0.0022478609625668,0.0022486631016042,0.0022494652406417,0.0022502673796791,0.0022510695187165,0.002251871657754,0.0022526737967914,0.0023,,,,,,,,,,,,,,,,,
