ID,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Spatial Scale,Metric,Unit,Country Code,Technology Name
Off-Grid Offshore Wind Energy_Installed electricity capacity_AF,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AF,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AL,Albania,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AL,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_DZ,Algeria,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,DZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AS,American Samoa,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AS,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AD,Andorra,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AD,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AO,Angola,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AI,Anguilla,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AI,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AG,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AG,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AR,Argentina,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AM,Armenia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AW,Aruba,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AU,Australia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AT,Austria,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_AZ,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,AZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BS,Bahamas,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BS,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BH,Bahrain,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BH,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BD,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BD,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BB,Barbados,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BB,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BY,Belarus,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BY,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BE,Belgium,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BZ,Belize,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BJ,Benin,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BJ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BT,Bhutan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BO,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BQ,"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BQ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BA,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BA,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BW,Botswana,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BW,Off-Grid Offshore Wind Energy
