Country Code,Country Name,Technology Name,Unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Oil refining,Thousand barrels daily,1089.1436284050658,1140.4684840748819,1238.5266335715035,1280.0393844809134,1344.3212502830606,1396.463781349577,1651.5847949308768,1683.9773202617046,1846.0657431307188,2034.3197786941494,2089.355622702837,2150.014557516526,2152.9707685661356,2216.5293061327397,2231.54308437831,2154.901740464498,2160.373875811647,2092.6829325863337,1873.3572319482837,1891.9058838318977,1879.955243418583,1781.268112847576,1882.5969639309994,1847.8457595712284,1885.2261048219289,1919.505573375911,1903.0577182807438,1911.2093130047729,1824.0954342024509,1831.6872357702775,1791.8727337617072,1806.9368304932277,1810.8365131544147,1844.455551580293,1861.1864481589341,1860.5889161382688,1917.291559994076,1922.637899126349,1958.6156165811706,1915.247371502325,1895.9376525187056,1914.2158425403331,1906.6743594584573,1951.4200730902064,1976.0887108275858,1913.1843135783417,2004.5356048797892,2014.8528144419336,1929.441554408964,1929.441554408964,1930.7894938503782,1933.7079660355246,1969.5598872754697,1939.1989708149056,2054.145120263034,2065.1334196325397,1954.0
MX,Mexico,Oil refining,Thousand barrels daily,417.0,417.0,457.0,525.0,525.0,562.0,562.0,594.0,722.0000000000001,722.0000000000001,745.9999999999999,822.0000000000001,822.0000000000001,991.0,1091.0,1226.0,1220.9999999999998,1215.0,1218.0000000000002,1269.0,1263.0,1280.0,1462.0,1462.0,1627.0,1627.0,1447.8,1447.7999999999997,1444.0000000000002,1444.0000000000002,1444.0000000000002,1444.0,1448.75,1448.75,1448.75,1481.0499999999997,1481.05,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1605.5,1605.5,1605.5,1521.9,1521.9,1521.9,1545.65,1558.0000000000002,1558.0000000000002,1558.0000000000002,1558.0000000000002
US,US,Oil refining,Thousand barrels daily,10390.0,10660.0,11350.0,11700.0,12020.0,12860.0,13290.0,13640.000000000002,14360.0,14960.000000000002,15239.999999999998,16400.0,17050.0,17440.0,17990.0,18620.0,17889.999999999996,16860.0,16139.999999999998,15658.999999999998,15459.0,15565.999999999998,15914.999999999998,15655.000000000002,15572.0,15676.000000000002,15695.999999999998,15120.999999999998,15058.0,15434.0,15333.0,15452.0,15711.0,16260.999999999998,16512.0,16568.0,16755.0,16756.999999999996,16947.0,17125.0,17339.0,17440.0,17593.999999999996,17672.0,17597.0,17735.999999999996,17367.000000000004,17823.000000000004,17925.0,17967.0,18317.0,18617.0,18597.999999999996,18808.0,18973.999999999996,18143.0,17941.0
AR,Argentina,Oil refining,Thousand barrels daily,402.325,414.2,412.3,423.6999999999999,434.15,437.69,603.9203500000001,602.0,624.0,720.9999999999999,683.9999999999999,703.0000000000001,655.0,683.9999999999999,683.9999999999999,684.0,683.9999999999999,683.9999999999999,677.0,677.0,677.0,677.0,679.0000000000001,682.0,681.0000000000001,681.0000000000001,684.9999999999999,679.0,679.0000000000001,654.0000000000001,638.9999999999999,639.9999999999999,644.0,642.0,618.0,625.0,613.0,613.0,615.0,620.0,615.0,616.9999999999999,628.0,628.0,624.9999999999999,624.9999999999999,624.9999999999999,657.0000000000001,656.9999999999999,656.9999999999999,656.9999999999999,657.0000000000001,656.9999999999999,580.0,580.0,579.9999999999999,580.0
BR,Brazil,Oil refining,Thousand barrels daily,346.655,351.87999999999994,360.90499999999986,439.27999999999986,476.51999999999987,525.0,597.0,756.0,820.0,980.9999999999999,995.9999999999999,990.0,1110.0,1202.0,1202.0,1393.0,1394.0,1423.0,1435.0,1435.0,1435.0,1435.0,1435.0,1404.0000000000002,1440.0,1440.0,1445.0000000000002,1444.0,1428.9999999999998,1473.0,1480.9999999999998,1481.0,1749.8127693175823,1768.0376645148158,1795.5838906675065,1849.361772527424,1849.3617725274241,1853.544496672084,1915.3890608109891,1925.718,1941.8509999999999,1942.007,1964.1049999999998,1976.5040000000001,1991.7409999999995,1991.7409999999995,2013.7949999999998,2004.2349999999997,2096.852,2238.3779999999997,2281.4,2288.869,2285.0756636192173,2285.0756636192173,2290.1641205109922,2290.164120510992,2302.542468054889
CL,Chile,Oil refining,Thousand barrels daily,79.42,86.45,86.45,85.5,86.45,105.45,129.19999999999996,124.0,124.00000000000001,124.00000000000001,149.0,140.0,129.99999999999997,138.00000000000003,138.00000000000003,137.99999999999997,147.99999999999997,147.99999999999997,147.99999999999997,148.0,147.99999999999997,147.99999999999997,147.99999999999997,148.0,147.99999999999997,147.99999999999997,147.99999999999997,148.0,150.0,162.0,163.0,181.00000000000003,201.0,201.0,201.0,200.99999999999997,201.0,218.00000000000003,238.0,238.0,238.0,234.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0
CO,Colombia,Oil refining,Thousand barrels daily,95.0,122.55,122.55,132.05,130.53,131.1,164.6825,172.0,166.0,172.0,172.0,164.99999999999997,164.99999999999997,166.0,175.99999999999997,191.0,191.0,201.0,212.00000000000003,212.0,212.00000000000003,217.0,227.0,227.00000000000003,227.0,244.99999999999997,253.0,253.0,253.0,253.0,275.0,289.0,306.0,306.0,313.0,323.0,323.0,324.0,318.00000000000006,325.0,325.0,337.99999999999994,337.99999999999994,340.00000000000006,349.99999999999994,349.99999999999994,336.0,335.99999999999994,336.0,336.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
CW,Curacao,Oil refining,Thousand barrels daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0
EC,Ecuador,Oil refining,Thousand barrels daily,18.05,11.4,19.0,35.14999999999999,31.35,33.535,34.2,34.49999999999999,34.50000000000001,34.50000000000001,39.375,44.400000000000006,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,146.50000000000003,146.5,146.50000000000003,146.50000000000003,146.50000000000003,147.00000000000003,147.0,147.0,157.0,157.0,157.0,177.00000000000003,177.00000000000003,177.0,177.00000000000003,177.00000000000003,177.00000000000003,177.0,177.00000000000003,177.00000000000003,174.99999999999997,175.0,174.99999999999997,174.99999999999997,174.99999999999997,175.0,174.99999999999997,174.99999999999997,174.99999999999997,175.0,174.99999999999997,174.99999999999997,174.99999999999997,175.0,174.99999999999997
AN,Netherlands Antilles,Oil refining,Thousand barrels daily,703.0000000000001,755.25,755.25,755.2500000000001,798.0,797.0,797.0,945.0,979.9999999999999,849.0,810.0000000000001,802.0,842.0,842.0,792.0000000000001,782.0,782.0000000000001,782.0000000000001,761.0,620.0,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,319.99999999999994,320.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
