ID,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Onshore Wind Energy_Levelized Cost of Energy_DK,0.237174789,0.222352824,0.215475987,0.205600894,0.215514546,0.196469038,0.19716703,0.186585695,0.183288748,0.184118592,,0.153271538,0.149337949,0.15341401,0.156576469,0.153726443,0.167354797,0.16139817,0.118548905,0.09519422,0.084908879,0.09956174,0.123286045,,0.118735943,,0.11967064,0.11685397,0.091054254,0.08896074,,0.063312922,0.055428235,0.045787793,0.043740117,0.045336849,0.039978839,,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Denmark,DK
Onshore Wind Energy_Levelized Cost of Energy_BR,,,,,,,,,,,,,,,0.053076696,,,0.140413232,0.119206481,0.135230102,,0.126946009,0.091864658,0.096921621,0.085403156,0.112596801,0.109430511,0.088391284,0.084496717,0.078261776,0.06430881,0.055246473,0.053584164,0.045001924,0.044300148,0.034077009,0.032227436,0.023675622,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Brazil,BR
Onshore Wind Energy_Levelized Cost of Energy_CA,,,,,,,0.194004198,,0.18494709,,0.092796272,,0.155130318,,,0.154761832,0.128353981,0.097053465,0.09142099,0.092589343,0.09075055,0.082951566,0.087878812,0.099669688,0.100122147,0.099461029,0.111037993,0.098163899,0.108819866,0.100194728,0.087568664,0.080491068,0.080697164,0.065094528,0.05353617,0.056972078,0.036497707,0.029625542,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Canada,CA
Onshore Wind Energy_Levelized Cost of Energy_CN,,,,,,,,,,,,,0.181642479,0.181642479,0.166725993,0.163218179,0.149222909,0.124685693,0.140471367,0.098667339,0.104131992,0.102066826,0.096912529,0.084959537,0.089872299,0.09099171,0.082918512,0.078294889,0.07696838,0.072256916,0.068088579,0.063241176,0.058467354,0.046077926,0.048294802,0.037572194,0.034588665,0.028007098,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,China,CN
Onshore Wind Energy_Levelized Cost of Energy_FR,,,,,,,,0.203592934,,0.21636421,,,0.198679618,0.184960347,0.183085486,0.17547306,0.139877908,0.141842689,0.146902422,0.113806485,0.127949196,0.126418291,0.12728357,0.119852019,0.160038654,0.132160224,0.134567379,0.118863866,0.105976607,0.096194119,0.088104501,0.082430765,0.075594967,0.082786704,0.064475745,0.052885621,0.046687216,0.043461749,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,France,FR
Onshore Wind Energy_Levelized Cost of Energy_DE,0.252980548,,,,,,0.220335877,0.208616995,0.226820633,0.222079079,0.167748282,0.206120591,0.189437777,0.18820949,0.175285658,0.186831952,0.184143596,0.192239041,0.153127236,0.139889748,0.13999988,0.144917511,0.149107347,0.137072282,0.164476005,0.151931741,0.142178483,0.135952192,0.121349248,0.113351873,0.101039018,0.090764667,0.08180428,0.079378672,0.066807568,0.054783767,0.046763394,0.051362186,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Germany,DE
Onshore Wind Energy_Levelized Cost of Energy_IN,,,,,,,0.2374089,0.271270906,0.248645175,0.248645175,0.248645175,0.233561354,0.226019444,0.207553657,0.210935623,0.203393713,0.198190958,0.15253795,0.138033297,0.149557898,0.124231019,0.115636786,0.13297398,0.104079069,0.110581656,0.085253161,0.089879318,0.082927675,0.095943983,0.095000978,0.091142237,0.077122412,0.066954523,0.053850763,0.04226653,0.042114197,0.038190299,0.029906465,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,India,IN
Onshore Wind Energy_Levelized Cost of Energy_IT,,,,,,0.204372301,,0.19418892,0.210408697,0.205667143,0.193273416,0.182790118,0.187419548,0.17426328,0.172388419,0.164775993,0.158119838,0.132540892,0.148092894,0.133849788,0.1159124,0.131257726,0.128937441,0.127949138,0.136723358,0.146294559,0.135688264,0.155768129,0.140940892,0.102453897,0.097567389,0.094148873,0.07215399,0.087398475,0.057036685,0.052479447,0.052158935,0.04085369,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Italy,IT
Onshore Wind Energy_Levelized Cost of Energy_JP,,,,,,,,,,,,,,,,,0.168653921,,,,,0.166826764,,,,,0.170226409,0.148169256,0.18525063,0.165599058,0.154810616,0.128097465,0.178426018,0.125896225,0.142243021,0.121834989,0.107433787,0.140557126,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Japan,JP
Onshore Wind Energy_Levelized Cost of Energy_MX,,,,,,,,,,,,,,,,,,,,,,,,0.063693427,0.056250179,0.083626792,0.098754606,0.08509109,0.066447077,0.077420039,0.075549521,0.069459526,0.06940652,0.058093074,0.041350256,0.056750347,0.04600025,0.042141281,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Mexico,MX
Onshore Wind Energy_Levelized Cost of Energy_ES,,,,,,,0.152763944,0.151411297,0.143840997,0.140416295,0.131464626,0.123892811,0.120468113,0.117734096,0.113587062,0.10563063,0.109967272,0.10643823,0.100743619,0.097385053,0.107384252,0.101117038,0.104385385,0.121102645,0.11930963,0.114267474,0.116899613,0.110066523,0.095026447,0.091033719,0.076079326,0.061772664,0.05698509,0.056011847,0.076938342,0.03841875,0.030920204,0.025176685,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Spain,ES
Onshore Wind Energy_Levelized Cost of Energy_SE,0.25233689,,,,,,0.219722756,0.208031903,0.226155091,0.221413537,0.20901981,0.198536512,0.203994699,0.190009674,0.188134813,0.180522387,,0.146233408,0.167339905,0.129670107,0.140616793,0.145512961,0.145512961,0.131798452,0.149173856,0.143669221,0.114510111,0.109073229,0.105462249,0.083965433,0.090954412,0.07375525,0.063134981,0.056847086,0.04238039,0.040514876,0.038623495,0.036375676,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Sweden,SE
Onshore Wind Energy_Levelized Cost of Energy_TR,,,,,,,,,,,,,,,0.086582855,,0.078637851,,,,,,,,,0.067746161,0.127971428,0.094776312,0.084221728,0.084957127,0.092708583,0.080663282,0.072154437,0.065168418,0.072465284,0.069263566,0.050269815,0.044634295,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,Türkiye,TR
Onshore Wind Energy_Levelized Cost of Energy_GB,,,,,,0.204150913,0.205008096,0.193989913,0.208471573,0.191274048,0.193047046,0.182563749,0.187181264,0.174036911,0.17216205,0.164549623,0.113155676,0.128326501,0.133846531,0.133652944,0.140297855,0.132689626,0.133145609,0.126347288,0.138780401,0.076754605,0.10233368,0.105028565,0.093658954,0.093227382,0.08808455,0.080427291,0.069576774,0.066068397,0.046249685,0.056466476,0.045735208,0.042237155,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,United Kingdom,GB
Onshore Wind Energy_Levelized Cost of Energy_US,0.323808079,0.304408776,0.275236969,0.269402607,0.210008808,0.196020226,0.216283195,0.209892121,,,,,,,0.120570144,0.116133368,0.101388466,0.095340821,0.090225073,0.080114979,0.088245271,0.0780249,0.088190391,0.086833842,0.098846486,0.110272799,0.102645763,0.108479914,0.092057023,0.075948829,0.062685058,0.056870522,0.052276863,0.045964381,0.042361674,0.038209516,0.034139894,0.02961255,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2021 USD/kWh,United States,US
