ID,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Onshore Wind Energy_Total Installed Cost_DK,4049.362683071,4032.313906551,3891.029465493,3678.792402239,3306.82382247,3183.248408269,3439.772004175,3404.939613141,3209.994816921,3121.804394628,,2696.303737877,2608.113437595,2537.709025721,2502.837591213,2361.25046022,2237.449461657,2131.473150955,1829.851579714,1777.194134786,1608.859135127,1776.992938886,2028.850186601,,2616.517179275,,2490.804735598,2678.998871177,2158.697437519,2350.212646078,,1992.643788479,1992.643788479,1835.995897071,1994.896096506,1992.11547441,1992.11547441,,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Denmark,DK
Onshore Wind Energy_Total Installed Cost_US,5190.051955032,5127.38392923,4557.67460376,4443.732738666,3283.804552009,3010.61524774,3406.339878395,3281.525714708,,,,,,,2278.83730188,2164.895436786,1934.732869296,1915.921055908,1894.777291762,1633.807903392,1991.755068466,1723.405744273,1773.469458722,2070.589019239,2390.781997211,2504.158695939,2508.956443405,2484.573866361,2273.996190078,2104.058656272,1996.179322935,1909.175851794,1951.67932124,1767.116383867,1722.984353268,1628.460594415,1439.618346549,1381.712570982,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,United States,US
Onshore Wind Energy_Total Installed Cost_DE,4049.362683071,,,,,,3611.760604384,3575.186593798,3370.494557768,3277.89461436,3035.851956448,2563.691964615,2455.447192776,2432.658819757,2535.206498342,2411.630021521,2385.041710449,2353.400294616,2379.926796758,2355.774670093,2364.371375918,2338.076925364,2293.311167518,2286.995242516,2468.162315232,2421.239791378,2381.209327232,2381.209327232,2163.323878476,2137.10933432,2108.361774245,2069.093142467,2029.646197986,2029.330181848,1995.934251827,1847.51929022,1839.16737343,1711.629106902,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Germany,DE
Onshore Wind Energy_Total Installed Cost_SE,4049.362683071,,,,,,3611.760604384,3575.186593798,3370.494557768,3277.89461436,3035.851956448,2831.118924771,2738.519109474,2664.594477007,2627.979470774,2479.312983231,,2238.046808503,2221.866369333,1866.053841526,2249.212416956,2221.866369333,2221.866369333,2245.020423226,2449.750099521,2574.167183786,2441.475521256,2246.152359346,2443.210563181,2105.809825569,2249.557326362,2011.5276194,1850.188067219,1676.759395929,1338.216583801,1404.471538817,1407.147884247,1320.279748827,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Sweden,SE
Onshore Wind Energy_Total Installed Cost_IT,,,,,,3342.410828683,,3575.186593798,3370.494557768,3277.89461436,3035.851956448,2831.118924771,2738.519109474,2664.594477007,2627.979470774,2479.312983231,2349.32193474,2238.046808503,2153.501250277,2267.443115371,2109.397387355,2141.401878839,2138.678285064,2270.499959005,2442.195236361,2892.690577776,2678.556991149,3285.828448037,3074.292718643,2120.934136588,2078.99168598,2225.136389618,1875.050966667,2682.999537554,1843.291514531,1750.964653824,1793.569125339,1377.25,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Italy,IT
Onshore Wind Energy_Total Installed Cost_GB,,,,,,3342.410828683,3611.760604384,3575.186593798,3662.441501628,3142.371547611,3035.851956448,2831.118924771,2738.519109474,2664.594477007,2627.979470774,2479.312983231,2030.172221659,2103.630912837,1900.094063397,2267.443115371,2816.262134223,2276.41337523,2256.048928861,2238.61854615,2518.115218578,1611.358228742,2330.023858949,2473.728126956,2419.119175013,2430.891252701,2374.859389743,2339.305816257,2193.289764182,2215.527534835,1935.375828312,1988.3693646,1802.451816506,1939.790023644,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,United Kingdom,GB
Onshore Wind Energy_Total Installed Cost_IN,,,,,,,3760.081548102,3760.081548102,3418.25595282,3418.25595282,3418.25595282,3190.372222632,3076.430357538,2962.488492444,2848.54662735,2734.604762256,2597.509602133,2100.386610493,1872.116869019,2150.283534307,1956.773600268,1678.753556584,1884.652346863,1693.848563102,1562.320586928,1319.289125124,1414.987887886,1267.09442902,1520.676535219,1563.198774921,1484.159236728,1335.701293324,1228.666433756,1214.790555061,1215.985823703,1105.482962981,1075.836586088,925.944082155,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,India,IN
Onshore Wind Energy_Total Installed Cost_ES,,,,,,,3611.760604384,3575.186593798,3370.494557768,3277.89461436,3035.851956448,2831.118924771,2738.519109474,2664.594477007,2627.979470774,2479.312983231,2349.32193474,2220.348333869,1921.3441587,1866.053841526,1980.542541089,1955.608231178,2015.921752522,2270.836578621,2223.29204062,2488.548191047,2568.296438484,2498.553905887,2191.908167327,2181.944948384,1837.888983492,1737.826914792,1711.988778136,1879.059364874,2452.544005921,1626.951241592,1276.715586543,1171.551038822,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Spain,ES
Onshore Wind Energy_Total Installed Cost_CA,,,,,,,3406.339878395,,2905.517559897,,1507.598754747,,2171.731948692,,,2164.895436786,2050.953571692,1781.420025296,2092.150000263,1824.819301496,1849.346107948,1762.974275494,2088.402350734,2290.115661477,2316.09148363,2321.152378539,2823.985369417,2604.649220094,2837.535612266,2738.823642485,2561.596177803,2646.107103141,2478.317176718,2175.760529994,1946.220705214,2548.047417058,1460.206519734,1368.05053374,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,Canada,CA
Onshore Wind Energy_Total Installed Cost_FR,,,,,,,,3575.186593798,,3277.89461436,,,2738.519109474,2664.594477007,2627.979470774,2479.312983231,1878.65792003,2238.046808503,1921.3441587,1861.05963687,2050.953571692,1929.464343833,2051.406259985,1871.115789962,2815.708866927,2486.219038963,2597.11127866,2328.501977274,2112.906076995,1991.377341579,1881.570160315,1876.649092796,1856.863178938,2115.203266387,2042.920513517,1850.334686621,1605.532663408,1778.570551845,Total Installed Cost,Onshore Wind Energy,National,IRENA,2021 USD/kW,France,FR
