Country Code,Country Name,Technology Name,Unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1.069,1.1320000000000001,1.345,1.3,1.8980000000000001,2.1390000000000002,2.085,2.337,1.678,1.8659999999999999,2.3129999999999997,2.4859999999999998,3.4779999999999998,3.9559191919191923,3.985919191919192,4.526052632,4.878052632,5.7940526320000005,7.20070790761281,7.596409537285307,8.237166888359386,9.059358985751958,9.118411329679406,9.197463354355932,10.020728148384515,10.473840900843408,10.130083521035113,10.763789473684211,10.73986822966507,11.43211197235513,12.024356682615629,11.802480457203615,15.692708357256778,19.277305369484317,20.974073099415207,23.10611389686337,23.68004385964912,24.7325159702286,39.84852137161084,46.32496255183413,45.937834587985115,47.483040616693245,47.26265491759702,49.30759144072302,49.97467794797154
MX,Mexico,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.463,0.518,0.579,0.592,0.598,1.0190000000000001,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.126,5.835512475377544,6.369522980958635,6.504760669730794,6.2285254000069115,6.426443480664893,6.1965551543007225,5.901246224556796,6.16058603172409,6.0840013131976365,6.3846451083388045,6.2734970453053185,6.100060368399868,6.976712538701905,7.2908343359468155,8.16551914,7.542386849999998,8.506912840999997,8.170158096,8.170422040777776,8.716160764111107,9.056245850888885,10.518245491777767,11.612804666888877,13.78383095566665,16.579446212383953,18.239662244333303,19.930105090777744,23.916759268111065,31.545541605608,36.189604569866916,39.716027733889305
US,US,Renewable energy generation,Terawatt-hours,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,19.98969177185428,20.40426480582133,19.754301961701323,22.564753541853655,23.536121862459233,24.67878665730967,25.756037242299385,26.65611631812324,27.37760327329065,26.405048945355972,29.810294113669265,35.607182700809915,36.40945199964598,38.720077251177365,42.67961297377268,42.404126916216306,51.24077698564593,60.646877889420516,64.01077461672078,68.14094648174127,70.43607446512935,70.3386584446096,66.97576619867787,68.63403758106347,69.67402688649226,69.19804372155645,71.52939390906374,72.75109334524501,74.21017169345147,82.84982312663247,83.24326502542405,86.9301121400648,91.33741416896791,100.76441679680872,109.76286708554585,131.10685948023348,149.86827801253258,173.68321202969088,201.90456711574262,228.3172603052482,266.2403230191412,296.77657492822965,315.80752586921847,367.4281844976076,417.72930590111645,451.622957830941,483.6654764912281,547.7002956299841,624.450111770335
AR,Argentina,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.05624185297637929,0.0589907403828468,0.07602739690295425,0.05997025009025901,0.061003230541860506,0.06399032308213243,0.06096254636795772,0.06400306781713878,0.06397281039215327,0.09498375746953751,0.09901762574698804,0.08701801169100098,0.11497340599597707,0.15497560915428094,0.1149884514727367,0.12000640940096803,0.12399024585055335,0.10598629348245087,0.12296129345947329,0.10600154925112033,0.13302181386516487,0.13100810119984146,0.12998592939502174,0.09599508704859146,0.09900439934269868,0.1190161244001765,0.23263864940158271,0.193350513719326,0.23945125710259713,0.29680697429785313,0.4208222957873164,0.412402250588142,0.6034322019111457,0.9586175395465596,0.9400283475996349,0.988300464042701,1.1160390115864365,1.1325533659084188,1.248074829126637,1.2258433761463772,1.4677972697839943,1.4473360034093474,1.8625879497459692,2.075092449342247,2.1182940605320555,2.125368972808494,1.7004414489294286,2.0170210959656694,3.1107058617889853,7.445566423868828,13.01969590365697,17.237010217398662
BR,Brazil,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.5146915000000002,0.6333952500000001,0.7165701875000001,0.7508003750000001,0.7851518,0.8671775749999999,0.864337725,1.1168454625,1.3319440750000002,1.7760194000000002,1.8055082625,1.8736228750000001,2.1784744749999994,2.9844549499999995,2.8516788875000003,3.067125588592233,3.1939324238673135,3.565697314724919,3.339783794093851,3.403162338511326,3.8590625000000003,3.9996125625,4.929360737945206,4.983937033224442,5.388223648777489,5.593740488958306,6.754709628222037,7.382950998212702,7.510233012160118,8.378002280958722,7.856363000000001,9.025307,10.287146964757708,11.955463,12.536055704810552,13.683839278459237,15.082658984288528,18.72622591999538,20.969257301833977,24.113872126241535,34.118933451935845,35.333809719859126,40.816650860162916,47.552502422401915,59.305516260290446,71.56494040305446,84.90883214777287,96.117176985405,106.31881041921892,117.56107737359113,126.54089677131188,143.9974746303295
CL,Chile,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.057,0.051000000000000004,0.046,0.051000000000000004,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.20800000000000002,0.201,0.195,0.28,0.271,0.327,0.321,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.45,1.375,1.69,1.788,1.702,2.036,1.797,1.438,2.7072000000000003,3.626344456000003,3.470696035600001,3.737803238000003,4.652021742000005,6.39190135470219,7.447838328000005,6.891706169000016,9.040877904999991,11.724319181035908,14.970817784080335,17.86386751497666,20.741997234804415,21.95897019020358,28.531793003650705
CO,Colombia,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.202,0.192,0.20600000000000002,0.216,0.227,0.212,0.231,0.234,0.255,0.267,0.266,0.268,0.274,0.274,0.274,0.269,0.34,0.389,0.444,0.47700000000000004,0.496,0.483,0.532,0.457,0.49783501369863015,0.49866875,0.49565125,0.501405,0.5269417260273973,0.56201125,0.5827074785004406,0.5570273758671577,0.5632674913525526,1.060995117674014,1.1485522393494332,1.4196596764757563,1.5309132887062111,1.4040585232067764,1.7991533138023459,1.8912775779027786,2.044691676648887,1.999330703079284,2.1742304157070724,2.639507869981437,3.021576961804532,3.197990706038754
EC,Ecuador,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324057,0.10286867292999999,0.145570603742,0.219733048,0.21103361,0.219732092266,0.23899672458799998,0.281603159999,0.299077269997,0.35615451132500003,0.495696345126,0.5426152921080001,0.612510058939,0.54173,0.546304746831,0.706702665103,0.58544,0.51381
PE,Peru,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,0.23,0.266,0.266,0.245,0.242,0.215,0.163,0.085,0.076,0.151,0.145,0.14200000000000002,0.169,0.154,0.136,0.136,0.145,0.136,0.133,0.133,0.109,0.11900000000000001,0.14200000000000002,0.13740000000000002,0.1546,0.1265,0.1396,0.1588,0.1642,0.1872,0.19720000000000001,0.1542,0.3492,0.3492,0.41819999999999996,0.4612,0.4612,0.6742,0.6762,0.7289,1.1581000000000001,1.7478,1.7316294744886702,1.6194225683354184,1.838065,2.790751,2.9425111111111146,3.173610109383237,3.256305393311166
TT,Trinidad & Tobago,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.029,0.025,0.023,0.019,0.023,0.029,0.029,0.026000000000000002,0.019,0.018000000000000002,0.016,0.013000000000000001,0.017,0.026000000000000002,0.031,0.027,0.026000000000000002,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.020127,0.029635,0.026965000000000003,0.013498,0.025175,0.024339,0.028686000000000003,0.021880999999999998,0.02313,0.022535,0.004004,0.004004,0.004004,0.004004,0.004488000000000001,0.005151,0.005151,0.005151,0.004669990925118327,0.004669990925118327,0.004683797260273973,0.004671000000000001
VE,Venezuela,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246,0.00298,0.00522,0.09363,0.11409000000000001,0.07719000000000001,0.10124000000000001,0.11552,0.11552,0.13248,0.09770663013698631,0.09743967213114754
AT,Austria,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943327,1.287501,0.905816,1.0469600000000001,1.1044500000000002,1.1424850000000002,1.225832,1.3291639999998917,1.3621110000000032,1.211555,1.8592209999999998,1.5954439999999999,1.733389,1.889777,1.6499118188815172,1.5982793199999996,1.8448119999999995,1.7324439999999999,2.0929209999999996,3.00173,3.792438060423016,5.029945415030309,6.140548663990792,6.219363639474432,6.2977069053316646,6.652852606388974,6.6825186974785025,7.4907781526642605,8.489478731680641,9.192526396883762,10.44007097395391,11.126375472909348,12.773920774485628,12.428904361665111,13.820435739736899,13.435601937640254,13.269313393539228
BE,Belgium,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.108,0.083,0.057,0.247,0.26,0.315,0.3,0.291,0.046,0.022,0.024,0.053,0.11900000000000001,0.14800000000000002,0.188,0.198,0.28900000000000003,0.307,0.276,0.253,0.254,0.33,0.322,0.28300000000000003,0.37,0.509,0.5840000000000001,0.634,0.778,0.945,1.1799999999999997,1.818,2.593,3.097,4.008,5.111000000000001,6.182428,8.180934,10.101092999999999,11.35140000000002,11.926800000000043,14.142000000000017,13.888000000000037,15.537500000000055,16.89320000000006,19.175300000000068,23.143900000000084,22.403331522035465
BG,Bulgaria,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.02,0.04700000000000001,0.138,0.248,0.7310000000000001,1.018,2.101,2.8467130000000003,2.783792,3.105185,3.1646140000000003,3.30301,4.233864,4.580311,4.657328000000001,4.617492930564281
HR,Croatia,Renewable energy generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.019,0.006,0.005,0.01,0.002,0.005,0.002,0.001,0.0,0.0,0.0,0.006,0.024,0.03,0.042,0.061,0.07901646400000001,0.172016464,0.256016464,0.42500000000000004,0.653293959,0.9299999999999999,1.119,1.5110000000000001,1.8083,2.0804,2.5206999999999997,2.8882000000000003,3.3498430647742286
