ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Solar Photovoltaic_Total Installed Cost_AU,7241.83132651457,7105.042354916566,5146.433598595231,3020.639685636482,3152.8512944154654,2344.412710339931,2018.5987953429626,2066.2793368931993,1593.2966747005396,1307.6971289269336,1098.727142925318,1023.0175536694957,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Australia,AU
Solar Photovoltaic_Total Installed Cost_CN,3796.149929404477,3565.785878518438,2875.039403318758,2219.244634828493,1848.8091739602783,1428.4297118049606,1293.0428204676068,1213.0673558548112,921.9690651191484,832.9844585766607,674.1921359484885,628.1480809531247,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,China,CN
Solar Photovoltaic_Total Installed Cost_FR,5735.231099218982,5863.283498841062,5185.646197525757,3402.428099968496,2483.8024828596112,1634.8882332540081,1383.7804086658227,1300.2166669006021,1125.8757290533936,1026.4337220410557,976.3392220728632,808.1913757616513,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,France,FR
Solar Photovoltaic_Total Installed Cost_DE,3884.5178842119435,3089.580136535659,2454.850287252094,2104.3155586686053,1677.6199915845727,1341.7235475446034,1218.0888143681248,1168.0945645634224,1166.983896471725,942.2915890324932,724.828082647782,693.5375828445748,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Germany,DE
Solar Photovoltaic_Total Installed Cost_IN,5296.069103606892,3262.723881385153,2862.3883497760567,2946.3651904448,1999.588556492257,1362.586140058149,1172.853880407809,1169.614916140864,830.9316825172615,648.2443780484541,617.3965290873708,589.5664490723564,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,India,IN
Solar Photovoltaic_Total Installed Cost_IT,5430.34494619237,5089.230192745986,2695.2235658839268,2134.1741815082523,2067.4438661584722,,,1019.3743874666619,912.4435501811992,870.3709779971498,808.8806942132984,784.8418079096045,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Italy,IT
Solar Photovoltaic_Total Installed Cost_JP,,5694.101173159145,4108.100882111422,3509.8296824221243,3217.5583062557375,2328.281646106816,2554.694876786827,2317.365198744182,2202.868174556296,2170.244574183365,1898.1267647491625,1693.2221686523433,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Japan,JP
Solar Photovoltaic_Total Installed Cost_NL,,,,,,,1202.4995603466266,1622.7772424292787,1224.5097420724003,1175.6417048139062,1125.901113232874,1022.091779058264,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Netherlands,NL
Solar Photovoltaic_Total Installed Cost_KR,9428.061075727053,6187.586135750218,2401.3865425132435,2791.671779251989,2318.377334020069,2192.7039936279375,2163.87083818812,1657.7982842736308,1390.2113663842492,1312.6905536529719,983.0112078923238,940.4113715064922,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Republic of Korea,KR
Solar Photovoltaic_Total Installed Cost_ES,4898.22513090845,3421.6408448146713,2818.4395745327456,2421.741204795659,2428.282623809824,1252.5765156419259,,,,803.444537412651,788.8342110746181,815.8544258212092,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Spain,ES
Solar Photovoltaic_Total Installed Cost_TR,,,,,,,1642.3393869787196,1317.2838951412903,1264.1441910444667,965.7069474286607,856.5541848927705,810.0,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Türkiye,TR
Solar Photovoltaic_Total Installed Cost_UA,,5160.245569807021,,4206.692442344101,,,,1284.5562630359368,1408.794958136375,913.1649209199923,886.241868626885,1034.9593103448276,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Ukraine,UA
Solar Photovoltaic_Total Installed Cost_GB,6199.336230822887,4927.410323997125,2915.456894631753,2417.4746317571908,2037.2992410987436,1603.073236454667,1535.558715860298,1328.2560552716573,1427.9733676334317,1066.8452134981367,876.0923514190233,848.0065,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,United Kingdom,GB
Solar Photovoltaic_Total Installed Cost_US,4805.417116920572,4707.753758917863,4630.657412161278,4104.224627637293,3025.2908200509255,2695.7996469374452,2328.644070863787,1963.5433655015402,1623.6072598845226,1279.7476645727559,1146.7728403518565,1085.4886095992576,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,United States,US
Solar Photovoltaic_Total Installed Cost_VN,,,,,,,2358.467483748636,3008.081933779057,,1105.610091391356,983.3795153117243,690.3829787234042,Total Installed Cost,Solar Photovoltaic,National,IRENA,2021 USD/kW,Viet Nam,VN
