Country Code,Country Name,Technology Name,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Solar capacity - Installed photovoltaic power,Megawatts,3.0,3.0,5.0,6.0,7.0,9.0,10.0,12.0,14.0,18.0,22.0,29.0,38.0,107.0,249.0,628.0,766.0,1210.0,1843.0,2519.0,2665.0,2932.0,3095.0,3327.0,3342.0,3629.6
MX,Mexico,Solar capacity - Installed photovoltaic power,Megawatts,10.0,11.0,12.0,13.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,25.1,29.8,42.4,72.8,109.0,174.0,287.0,632.6,1125.74,2541.0,4426.208,5149.0,7026.0
US,US,Solar capacity - Installed photovoltaic power,Megawatts,13.9,14.6,15.2,16.6,176.0,213.0,255.0,293.0,363.0,493.0,698.0,974.0,1153.0,1614.0,2909.0,5172.0,8137.0,11759.0,15984.0,21684.0,32958.0,41357.0,49812.0,59068.0,73813.7,93713.013
AR,Argentina,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,1.252,6.252,8.257,8.252,8.618,8.806,8.806,191.236,442.111,764.135,1071.366
BR,Brazil,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.0,0.036,0.036,0.716,0.718,0.718,0.718,0.718,0.764,0.814,0.854,6.097,6.608,12.528,20.697,45.567,127.789,1206.787,2435.022,4613.191,7879.157,13054.926
CL,Chile,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,221.0,576.0,1125.0,1809.0,2137.0,2653.698,3205.438,4360.007
HN,Honduras,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,1.0,1.599,1.804,1.975,2.128,2.376,2.668,2.872,3.228,3.228,3.512,3.728,4.479,5.156,5.156,5.156,393.156,414.156,453.786,513.686,514.0,514.0,514.0
AT,Austria,Solar capacity - Installed photovoltaic power,Megawatts,1.7,2.2,2.9,3.7,5.0,7.0,9.0,23.0,27.0,21.018,22.387,24.238,30.12,48.915,88.813,174.07,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2691.934
BE,Belgium,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,1006.6,1978.6,2646.6,2901.6,3015.0,3131.6,3328.8,3620.6,4000.0,4636.6,5574.8,6584.6
BG,Bulgaria,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,2.0,25.0,154.0,1013.0,1020.0,1026.0,1029.0,1028.0,1035.57,1032.679,1047.95,1097.357,1186.357
CZ,Czech Republic,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.586,0.841,3.961,39.5,464.6,1727.0,1913.0,2022.0,2063.5,2067.4,2074.9,2067.9,2069.5,2075.072,2086.424,2122.711,2119.211
DK,Denmark,Solar capacity - Installed photovoltaic power,Megawatts,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.108,850.953,906.35,998.0,1080.0,1304.294,1540.294
FR,France,Solar capacity - Installed photovoltaic power,Megawatts,4.0,6.0,8.0,9.0,7.0,7.0,8.0,9.0,11.0,13.0,15.0,26.0,80.0,277.0,1044.0,3003.574,4358.754,5277.289,6034.418,7137.517,7702.081,8610.437,9672.296,10807.874,12022.225,14709.225
DE,Germany,Solar capacity - Installed photovoltaic power,Megawatts,28.0,42.0,54.0,70.0,114.0,195.0,260.0,435.0,1105.0,2056.0,2899.0,4170.0,6120.0,10564.0,18004.0,25914.0,34075.0,36708.0,37898.0,39222.0,40677.0,42291.0,45156.0,48912.0,53719.0,58459.0
