Country Code,Country Name,Technology Name,Unit,Data Source,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002052632,0.002052632,0.002052632,0.003842105,0.005894737,0.006947368,0.010105263,0.013263157894736838,0.016421052631578947,0.019578947368421057,0.02273684210526316,0.022789473684210526,0.014263157894736839,0.017,0.021,0.026000000000000002,0.035,0.109,0.2555555555555556,0.5717151515151516,0.8808070707070709,1.498989898989899,2.1202010101010105,2.8949515151515155,4.0323222222222235,3.5737383838383843,3.7969696969696973,4.07979797979798,4.280405050505051,5.161737373737375
MX,Mexico,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009000000000000001,0.009000000000000001,0.01,0.009000000000000001,0.019,0.027,0.031,0.041,0.069,0.106,0.221,0.2021975001617577,0.2522761111111104,1.1865061111111077,3.179999999999991,7.36666667256,9.45277778534,11.907884580173162
US,US,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005301010101010101,0.010737373737373738,0.014173737373737375,0.010603030303030303,0.009185858585858585,0.25313232323232326,0.3707949494949495,0.4782528729674542,0.4088444774882213,0.4751618920299379,0.501872793360281,0.5144715734785028,0.5413412174271023,0.5326957275342495,0.5246593462241868,0.5183420696166311,0.5185126541232549,0.5743510554929366,0.6015975976585289,0.6106543183533498,0.6981324377787633,0.7489006336143736,0.8244321290788035,1.09541049862401,1.6330625636997316,2.0759603942444147,3.0130364209721123,4.738904127970131,9.037013755540604,16.039695480597896,29.216161616161617,39.426262626262634,55.42020202020203,78.05757575757576,94.3080808080808,107.97373737373739,132.04141414141415,165.35656565656566
AR,Argentina,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-05,2.6e-05,3.600000000000001e-05,4.3e-05,4.7e-05,6.5e-05,7e-05,8.100000000000002e-05,9e-05,0.0001089,0.0001437,7.608399999999999e-05,8.588999999999999e-05,0.0016140000000000002,0.008172966799999999,0.015074078999999995,0.015944,0.014682999999999998,0.014273,0.016416999999999998,0.10813,0.7996979130000001,1.3443579999999997,2.195563410000001
BR,Brazil,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00098,0.0047935926312,0.0160818016968,0.058917411676156446,0.08526059159097375,0.8318134013171892,3.4614348342259724,6.654579082808069,10.748341462517716,16.75228087138015
CL,Chile,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403900000000001,0.006756560000000003,0.45871298400000005,1.3601002794100001,2.5502637000000004,3.89594831461,5.118720829440002,6.300226398623749,7.61484351488932,10.596326517318458
CO,Colombia,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018350136986301372,0.00266875,0.00465125,0.006404999999999998,0.007951726027397259,0.00953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.012,0.13206,0.19080000000000003,0.31732164182555217
EC,Ecuador,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238993e-05,1.4874999999999999e-05,1.8161999999999997e-05,2.6687000000000004e-05,7.8786e-06,0.0,5.812e-05,0.00032566,0.00366360668,0.01648269559,0.036057927187,0.038754817694,0.03748,0.03807932406500003,0.1664522795829998,0.03776,0.03687
PE,Peru,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.19690000000000002,0.1993,0.23025534299999997,0.241,0.32972300000000004,0.7967000000000001,0.8329,0.8492741808650065,0.875472870249017
TT,Trinidad & Tobago,Solar power generation,Terawatt-hours,BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000127,0.000635,0.000965,0.001498,0.002175,0.002339,0.002686,0.002881,0.00313,0.0035350000000000004,0.004004,0.004004,0.004004,0.004004,0.004488000000000001,0.005151,0.005151,0.005151,0.004669990925118327,0.004669990925118327,0.004683797260273973,0.004671000000000001
