ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_AL,,,30.97,46.71,58.07,56.38,56.38,56.38,67.65,78.93,78.7,78.93,78.93,78.93,78.93,78.93,79.15,78.93,78.93,78.93,84.57,84.57,103.32,113.69,112.75,73.55,72.38,67.03,73.41,68.17,77.44,79.12,producer price index,Price,National,Soybean Production,FAOSTAT,Albania,AL
Soybean Production_Price_AO,,,,,,,,,,,,,,,,,,,,91.17,91.17,108.49,91.17,91.17,97.03,111.8,132.51,117.24,121.0,119.13,118.52,117.91,producer price index,Price,National,Soybean Production,FAOSTAT,Angola,AO
Soybean Production_Price_AR,5.15,5.17,6.82,7.04,6.76,8.47,9.06,6.6,5.2,5.61,5.26,14.61,16.22,17.69,15.42,16.79,20.82,26.85,29.51,31.88,39.52,51.3,55.71,77.34,88.35,134.31,151.97,247.4,276.98,317.82,331.34,349.2,producer price index,Price,National,Soybean Production,FAOSTAT,Argentina,AR
Soybean Production_Price_AU,62.87,62.52,65.89,78.33,70.69,71.04,74.77,73.71,72.46,61.1,66.96,62.7,102.48,82.41,67.31,63.23,73.89,85.87,97.86,93.33,88.8,84.0,85.54,91.98,102.29,105.73,107.27,108.56,106.4,103.07,103.35,102.54,producer price index,Price,National,Soybean Production,FAOSTAT,Australia,AU
Soybean Production_Price_AT,86.9,115.67,115.67,111.3,48.73,56.0,62.11,54.21,53.58,54.41,64.66,65.47,60.96,59.16,59.16,55.26,68.17,98.5,81.68,97.0,103.9,140.24,118.32,104.2,95.8,100.0,103.6,103.0,94.29,105.41,148.35,100.6,producer price index,Price,National,Soybean Production,FAOSTAT,Austria,AT
Soybean Production_Price_AZ,,,,7.85,34.78,99.73,108.94,107.89,110.22,123.99,127.11,131.08,138.95,147.87,143.83,77.41,79.66,87.8,87.8,90.79,91.94,94.22,95.59,95.59,93.54,110.87,107.22,109.51,98.66,82.27,65.9,49.53,producer price index,Price,National,Soybean Production,FAOSTAT,Azerbaijan,AZ
Soybean Production_Price_BD,40.72,,,,,,,,,,,,,,34.27,61.83,69.04,91.95,76.84,98.77,105.9,153.9,203.64,98.46,100.0,101.54,108.5,90.8,86.43,232.41,194.52,177.38,producer price index,Price,National,Soybean Production,FAOSTAT,Bangladesh,BD
Soybean Production_Price_BZ,56.44,58.47,59.48,61.68,65.23,66.67,65.65,66.67,65.32,65.91,65.48,67.09,63.37,61.14,58.0,64.78,78.43,72.05,70.14,70.34,77.92,88.11,87.96,90.77,99.42,109.81,113.07,113.4,120.21,119.44,118.58,119.15,producer price index,Price,National,Soybean Production,FAOSTAT,Belize,BZ
Soybean Production_Price_BT,4.63,6.53,8.42,8.4,10.46,10.59,13.44,13.98,16.29,19.0,10.59,12.35,13.44,15.6,13.98,13.68,19.55,26.61,22.24,22.9,27.52,30.11,57.01,66.52,161.54,71.95,73.3,71.86,71.91,70.59,71.38,71.02,producer price index,Price,National,Soybean Production,FAOSTAT,Bhutan,BT
Soybean Production_Price_BO,25.01,25.05,29.94,32.76,33.32,37.41,50.39,41.17,41.74,40.38,42.02,49.1,55.97,69.47,62.8,60.99,78.94,112.79,123.04,94.71,98.48,102.18,104.18,117.73,95.17,87.1,92.4,104.81,104.77,104.07,106.4,108.73,producer price index,Price,National,Soybean Production,FAOSTAT,Bolivia (Plurinational State of),BO
