ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Sugar Cane Production_Price_AF,11.24,11.24,11.24,11.24,20.87,28.24,35.29,43.0,53.28,54.57,52.65,53.28,50.97,54.68,59.4,59.72,70.09,67.98,72.16,100.43,111.16,112.77,108.92,105.42,101.22,93.36,89.57,85.02,81.86,80.28,80.3,80.32,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Afghanistan,AF
Sugar Cane Production_Price_AR,5.9,5.66,8.06,8.71,7.62,6.75,7.62,6.1,4.57,5.01,5.88,11.32,8.72,6.7,8.32,7.88,8.19,9.23,11.3,24.76,32.67,26.35,30.26,45.15,100.37,154.47,149.08,176.81,233.35,256.62,256.76,294.74,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Argentina,AR
Sugar Cane Production_Price_AU,82.05,71.79,71.79,76.92,92.31,82.05,82.05,82.05,69.23,58.97,58.97,79.49,71.79,58.97,66.67,71.79,84.62,66.67,82.05,112.82,97.44,110.26,105.13,102.56,102.56,94.87,112.82,102.56,100.0,106.13,105.8,105.46,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Australia,AU
Sugar Cane Production_Price_BD,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,46.88,56.26,59.39,64.14,67.71,73.52,76.97,80.81,85.35,82.66,86.9,95.09,100.0,104.91,109.74,112.65,121.48,125.74,127.88,130.98,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Bangladesh,BD
Sugar Cane Production_Price_BB,153.85,169.23,152.14,158.97,167.52,164.1,153.85,140.17,128.21,116.24,116.24,116.24,126.5,90.77,88.03,95.56,88.55,91.56,89.81,92.02,93.5,98.8,104.46,98.8,100.17,101.03,103.25,106.15,115.82,110.94,107.78,117.78,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Barbados,BB
Sugar Cane Production_Price_BZ,101.09,98.07,98.07,89.02,98.07,90.53,84.49,76.95,67.9,63.37,61.86,57.34,63.37,61.14,58.0,64.77,78.43,72.05,70.15,70.34,77.92,88.1,87.96,90.77,99.42,109.81,113.07,113.4,118.19,116.33,115.01,116.05,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Belize,BZ
Sugar Cane Production_Price_BT,2.43,3.42,3.98,4.02,4.34,4.94,5.49,6.17,8.26,8.46,8.56,9.31,9.86,10.61,11.91,12.2,14.06,14.48,14.04,16.17,15.79,86.98,163.26,104.65,102.33,93.02,209.3,205.18,205.6,194.64,188.52,188.68,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Bhutan,BT
Sugar Cane Production_Price_BO,3.45,3.58,3.71,3.91,4.24,4.51,4.71,4.58,4.91,5.17,5.37,4.77,4.78,5.32,5.89,7.61,7.4,7.71,7.62,10.56,10.84,11.05,11.31,135.83,119.69,44.48,23.8,25.58,27.71,23.42,20.69,18.07,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Bolivia (Plurinational State of),BO
Sugar Cane Production_Price_BR,0.0,0.02,0.5,12.11,19.68,22.7,25.73,25.73,22.7,28.76,37.84,39.5,45.56,43.14,47.98,59.33,56.15,48.13,55.85,63.87,78.55,94.14,97.53,96.14,95.79,108.07,99.17,105.33,109.71,121.55,109.12,129.96,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Brazil,BR
Sugar Cane Production_Price_BF,47.26,48.84,39.81,53.21,53.21,74.57,75.81,92.05,71.77,54.95,85.35,97.08,66.92,73.58,84.51,72.77,79.8,104.55,101.53,97.37,108.01,106.53,111.4,111.28,93.02,95.7,104.01,112.15,105.12,105.24,105.35,105.47,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Burkina Faso,BF
Sugar Cane Production_Price_BI,560.72,609.33,381.76,222.04,162.23,199.89,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,177.27,265.9,90.41,90.41,129.4,128.34,249.06,308.62,102.99,102.99,90.68,106.33,102.99,102.99,102.99,106.47,107.53,109.39,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Burundi,BI
Sugar Cane Production_Price_CV,75.85,76.63,76.66,78.9,79.84,80.94,83.47,84.52,88.75,87.68,90.05,91.68,94.2,104.27,106.06,111.47,115.65,123.22,114.47,111.12,116.17,107.89,113.22,110.23,95.47,94.29,95.21,103.15,103.84,103.84,103.81,103.78,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Cabo Verde,CV
