Country Code,Country Name,Technology Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Wind - Installed turbine capacity,Megawatts,,,26.0,83.0,126.0,92.0,131.0,161.0,327.0,444.0,677.0,1423.0,1840.0,2336.0,3282.0,3967.0,5265.0,6201.0,7801.0,9694.0,11214.0,11973.0,12250.0,12816.0,13413.0,13626.96,14303.56
MX,Mexico,Wind - Installed turbine capacity,Megawatts,,,2.0,2.0,2.0,17.0,17.0,18.0,18.0,18.0,18.0,101.0,101.0,101.0,425.0,519.0,601.0,1815.0,2122.0,2569.0,3271.0,4051.0,4199.372,4875.635,6050.26,6504.433,7691.53
US,US,Wind - Installed turbine capacity,Megawatts,,,1611.0,2141.0,2445.0,2377.0,3864.0,4417.0,5995.0,6456.0,8706.0,11329.0,16515.0,24651.0,34296.0,39135.0,45676.0,59075.0,59973.0,64232.02,72573.02,81286.0,87597.0,94516.0,104052.2,118731.7,132737.6
AR,Argentina,Wind - Installed turbine capacity,Megawatts,,,9.0,14.0,14.0,14.112,24.829,25.798,25.729,27.829,27.829,27.829,27.829,27.829,27.829,27.829,59.579,136.979,189.979,215.187,187.104,187.442,226.742,750.342,1609.359,2623.904,3292.124
BR,Brazil,Wind - Installed turbine capacity,Megawatts,,,4.0,19.0,22.0,22.0,24.0,22.0,24.0,24.0,29.0,237.0,247.0,398.0,602.0,927.0,1426.0,1894.0,2202.02,4888.053,7633.115,10129.155,12304.272,14843.094,15438.379,17198.324,21161.27
CL,Chile,Wind - Installed turbine capacity,Megawatts,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,163.0,163.0,184.0,202.0,301.0,736.0,910.0,1039.0,1305.0,1524.0,1620.074,2148.996,3137.006
CR,Costa Rica,Wind - Installed turbine capacity,Megawatts,,,23.0,27.0,35.0,42.5,62.3,62.3,68.6,68.6,68.6,68.6,66.0,66.0,115.5,115.5,128.3,143.6,143.6,193.1,272.1,365.1,377.82,407.77,410.92,393.52,393.52
UY,Uruguay,Wind - Installed turbine capacity,Megawatts,,,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,14.6,30.6,40.6,43.605,52.605,59.417,481.268,856.756,1211.456,1510.656,1510.656,1513.856,1513.856,1513.856
AT,Austria,Wind - Installed turbine capacity,Megawatts,,,20.0,30.0,42.0,50.0,67.0,109.0,322.0,581.0,825.219,968.269,991.159,991.974,1000.985,1015.828,1105.966,1337.15,1674.538,2110.275,2488.726,2729.996,2886.698,3132.713,3224.117,3225.985,3523.985
BE,Belgium,Wind - Installed turbine capacity,Megawatts,,,9.0,10.0,11.0,14.0,26.0,31.0,67.0,96.0,167.0,212.0,276.0,324.0,608.0,912.0,1069.0,1370.0,1780.0,1944.0,2176.0,2370.0,2787.5,3267.9,3863.4,4680.9,4779.64
BG,Bulgaria,Wind - Installed turbine capacity,Megawatts,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,27.0,30.0,114.0,333.0,488.0,541.0,677.0,683.0,699.0,699.0,699.0,698.39,698.92,703.12,702.8,704.8
DK,Denmark,Wind - Installed turbine capacity,Megawatts,,,1116.0,1420.0,1738.0,2390.015,2497.153,2894.531,3119.916,3123.712,3127.836,3135.696,3124.214,3162.87,3482.087,3801.829,3951.981,4161.941,4818.923,4886.403,5076.966,5245.142,5488.949,6115.046,6102.94,6259.455,7013.565
FI,Finland,Wind - Installed turbine capacity,Megawatts,,,12.0,18.0,39.0,38.0,39.0,43.0,52.0,82.0,82.0,86.0,110.0,143.0,147.0,197.0,199.0,257.0,447.0,627.0,1005.0,1565.0,2044.0,2041.0,2284.0,2586.0,3257.0
FR,France,Wind - Installed turbine capacity,Megawatts,,,13.0,21.0,25.0,38.0,66.0,138.0,218.0,358.0,690.0,1412.0,2223.0,3403.0,4582.0,5912.0,6758.016,7607.496,8155.961,9201.425,10298.18,11566.564,13499.357,14900.146,16456.854,17484.001,18676.001
DE,Germany,Wind - Installed turbine capacity,Megawatts,,,2089.0,2877.0,4435.0,6095.0,8754.0,12001.0,14381.0,16419.0,18248.0,20474.0,22116.0,22794.0,25732.0,26903.0,28712.0,30979.0,33477.0,38614.0,44580.0,49435.0,55580.0,58721.0,60742.0,62188.0,63760.0
GR,Greece,Wind - Installed turbine capacity,Megawatts,,,29.0,38.1,105.8,226.0,270.0,287.0,371.0,470.0,491.0,749.0,846.0,1022.0,1171.0,1298.0,1640.0,1753.0,1809.0,1978.0,2091.0,2370.0,2624.0,2877.495,3589.0,4119.25,4457.25
IE,Ireland,Wind - Installed turbine capacity,Megawatts,,,53.0,64.0,74.0,116.5,122.9,134.8,210.3,336.4,493.3,676.5,740.5,942.3,1251.3,1390.4,1584.6,1704.35,1923.3,2283.25,2451.15,2801.65,3319.15,3673.85,4126.45,4306.7,4332.05
